hhid,persid,jteid,dayType,start_loc,start_stopid,start_time,start_LGA,end_loc,end_stopid,end_time,end_LGA,mainmode_desc_01,mainmode_desc_02,mainmode_desc_03,mainmode_desc_04,mainmode_desc_05,mainmode_desc_06,mainmode_desc_07,mainmode_desc_08,mainmode_desc_09,mainmode_desc_10,mainmode_desc_11,mainmode_desc_12,mainmode_desc_13,mainmode_desc_14,mainmode_desc_15,destpurp1_desc_01,destpurp1_desc_02,destpurp1_desc_03,destpurp1_desc_04,destpurp1_desc_05,destpurp1_desc_06,destpurp1_desc_07,destpurp1_desc_08,destpurp1_desc_09,destpurp1_desc_10,destpurp1_desc_11,destpurp1_desc_12,destpurp1_desc_13,destpurp1_desc_14,destpurp1_desc_15,destplace1_desc_01,destplace1_desc_02,destplace1_desc_03,destplace1_desc_04,destplace1_desc_05,destplace1_desc_06,destplace1_desc_07,destplace1_desc_08,destplace1_desc_09,destplace1_desc_10,destplace1_desc_11,destplace1_desc_12,destplace1_desc_13,destplace1_desc_14,destplace1_desc_15,startime_01,startime_02,startime_03,startime_04,startime_05,startime_06,startime_07,startime_08,startime_09,startime_10,startime_11,startime_12,startime_13,startime_14,startime_15,arrtime_01,arrtime_02,arrtime_03,arrtime_04,arrtime_05,arrtime_06,arrtime_07,arrtime_08,arrtime_09,arrtime_10,arrtime_11,arrtime_12,arrtime_13,arrtime_14,arrtime_15,vistadist_01,vistadist_02,vistadist_03,vistadist_04,vistadist_05,vistadist_06,vistadist_07,vistadist_08,vistadist_09,vistadist_10,vistadist_11,vistadist_12,vistadist_13,vistadist_14,vistadist_15,travtime_01,travtime_02,travtime_03,travtime_04,travtime_05,travtime_06,travtime_07,travtime_08,travtime_09,travtime_10,travtime_11,travtime_12,travtime_13,travtime_14,travtime_15,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS
Y24H5890524,Y24H5890524P04,Y24H5890524P04JTE224,Weekday,FROM_HOME,Y24H5890524P04S01,480,Wyndham (C),TO_EDUCATION,Y24H5890524P04S03,540.0,Melbourne (C),Vehicle Passenger,Train,Walking,,,,,,,,,,,,,Change Mode,Change Mode,Education,,,,,,,,,,,,,Transport Feature,Transport Feature,Place of education,,,,,,,,,,,,,480.0,485.0,530.0,,,,,,,,,,,,,485.0,530.0,540.0,,,,,,,,,,,,,4.05681,25.73812,0.52816,,,,,,,,,,,,,5.0,45.0,10.0,,,,,,,,,,,,,Train,60,30.32309,60.0,534.224140975,MELB - Outer,Greater Melbourne
Y24H5890531,Y24H5890531P04,Y24H5890531P04JTE225,Weekday,FROM_HOME,Y24H5890531P04S01,510,Wyndham (C),TO_EDUCATION,Y24H5890531P04S01,515.0,Wyndham (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,515.0,,,,,,,,,,,,,,,2.28182,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Vehicle Passenger,5,2.28182,5.0,815.771621898,MELB - Outer,Greater Melbourne
Y24H5890532,Y24H5890532P03,Y24H5890532P03JTE226,Weekday,FROM_HOME,Y24H5890532P03S01,525,Wyndham (C),TO_EDUCATION,Y24H5890532P03S01,540.0,Wyndham (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,525.0,,,,,,,,,,,,,,,540.0,,,,,,,,,,,,,,,5.64214,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,Vehicle Passenger,15,5.64214,15.0,784.89790473,MELB - Outer,Greater Melbourne
Y24H5890532,Y24H5890532P04,Y24H5890532P04JTE227,Weekday,FROM_HOME,Y24H5890532P04S01,525,Wyndham (C),TO_EDUCATION,Y24H5890532P04S01,540.0,Wyndham (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,525.0,,,,,,,,,,,,,,,540.0,,,,,,,,,,,,,,,5.64214,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,Vehicle Passenger,15,5.64214,15.0,407.156778759,MELB - Outer,Greater Melbourne
Y24H5900201,Y24H5900201P03,Y24H5900201P03JTE228,Weekday,FROM_HOME,Y24H5900201P03S01,510,Whitehorse (C),TO_EDUCATION,Y24H5900201P03S01,520.0,Whitehorse (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,520.0,,,,,,,,,,,,,,,4.15064,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,Vehicle Passenger,10,4.15064,10.0,656.606746925,MELB - Middle,Greater Melbourne
Y24H5900201,Y24H5900201P04,Y24H5900201P04JTE229,Weekday,FROM_HOME,Y24H5900201P04S01,510,Whitehorse (C),TO_EDUCATION,Y24H5900201P04S01,520.0,Whitehorse (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,520.0,,,,,,,,,,,,,,,4.15064,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,Vehicle Passenger,10,4.15064,10.0,656.606746925,MELB - Middle,Greater Melbourne
Y24H5900210,Y24H5900210P02,Y24H5900210P02JTE230,Weekday,FROM_HOME,Y24H5900210P02S03,810,Whitehorse (C),TO_EDUCATION,Y24H5900210P02S03,830.0,Whitehorse (C),Vehicle Driver,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,810.0,,,,,,,,,,,,,,,830.0,,,,,,,,,,,,,,,4.68073,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,Vehicle Driver,20,4.68073,20.0,811.349325547,MELB - Middle,Greater Melbourne
Y24H5900217,Y24H5900217P03,Y24H5900217P03JTE231,Weekday,FROM_HOME,Y24H5900217P03S01,520,Whitehorse (C),TO_EDUCATION,Y24H5900217P03S01,535.0,Whitehorse (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,520.0,,,,,,,,,,,,,,,535.0,,,,,,,,,,,,,,,3.32968,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,Vehicle Passenger,15,3.32968,15.0,606.22576145,MELB - Middle,Greater Melbourne
Y24H5900224,Y24H5900224P02,Y24H5900224P02JTE232,Weekday,FROM_HOME,Y24H5900224P02S01,614,Whitehorse (C),TO_EDUCATION,Y24H5900224P02S04,660.0,Yarra (C),Vehicle Passenger,Walking,Train,Walking,,,,,,,,,,,,Change Mode,Change Mode,Change Mode,Education,,,,,,,,,,,,Transport Feature,Transport Feature,Transport Feature,Place of education,,,,,,,,,,,,614.0,619.0,621.0,648.0,,,,,,,,,,,,619.0,621.0,648.0,660.0,,,,,,,,,,,,2.93997,0.07877,18.70777,0.82385,,,,,,,,,,,,5.0,2.0,27.0,12.0,,,,,,,,,,,,Train,46,22.55036,46.0,603.656852223,MELB - Middle,Greater Melbourne
Y24H5900237,Y24H5900237P02,Y24H5900237P02JTE233,Weekday,FROM_HOME,Y24H5900237P02S01,620,Whitehorse (C),TO_EDUCATION,Y24H5900237P02S01,629.0,Whitehorse (C),Vehicle Driver,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,620.0,,,,,,,,,,,,,,,629.0,,,,,,,,,,,,,,,3.97638,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,Vehicle Driver,9,3.97638,9.0,741.086296714,MELB - Middle,Greater Melbourne
