hhid,persid,jteid,dayType,start_loc,start_stopid,start_time,start_LGA,end_loc,end_stopid,end_time,end_LGA,mainmode_desc_01,mainmode_desc_02,mainmode_desc_03,mainmode_desc_04,mainmode_desc_05,mainmode_desc_06,mainmode_desc_07,mainmode_desc_08,mainmode_desc_09,mainmode_desc_10,mainmode_desc_11,mainmode_desc_12,mainmode_desc_13,mainmode_desc_14,mainmode_desc_15,destpurp1_desc_01,destpurp1_desc_02,destpurp1_desc_03,destpurp1_desc_04,destpurp1_desc_05,destpurp1_desc_06,destpurp1_desc_07,destpurp1_desc_08,destpurp1_desc_09,destpurp1_desc_10,destpurp1_desc_11,destpurp1_desc_12,destpurp1_desc_13,destpurp1_desc_14,destpurp1_desc_15,destplace1_desc_01,destplace1_desc_02,destplace1_desc_03,destplace1_desc_04,destplace1_desc_05,destplace1_desc_06,destplace1_desc_07,destplace1_desc_08,destplace1_desc_09,destplace1_desc_10,destplace1_desc_11,destplace1_desc_12,destplace1_desc_13,destplace1_desc_14,destplace1_desc_15,startime_01,startime_02,startime_03,startime_04,startime_05,startime_06,startime_07,startime_08,startime_09,startime_10,startime_11,startime_12,startime_13,startime_14,startime_15,arrtime_01,arrtime_02,arrtime_03,arrtime_04,arrtime_05,arrtime_06,arrtime_07,arrtime_08,arrtime_09,arrtime_10,arrtime_11,arrtime_12,arrtime_13,arrtime_14,arrtime_15,vistadist_01,vistadist_02,vistadist_03,vistadist_04,vistadist_05,vistadist_06,vistadist_07,vistadist_08,vistadist_09,vistadist_10,vistadist_11,vistadist_12,vistadist_13,vistadist_14,vistadist_15,travtime_01,travtime_02,travtime_03,travtime_04,travtime_05,travtime_06,travtime_07,travtime_08,travtime_09,travtime_10,travtime_11,travtime_12,travtime_13,travtime_14,travtime_15,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS
Y24H5740109,Y24H5740109P03,Y24H5740109P03JTE001,Weekday,FROM_HOME,Y24H5740109P03S01,490,Casey (C),TO_EDUCATION,Y24H5740109P03S02,513.0,Casey (C),Walking,School Bus,,,,,,,,,,,,,,Change Mode,Education,,,,,,,,,,,,,,Transport Feature,Place of education,,,,,,,,,,,,,,490.0,495.0,,,,,,,,,,,,,,493.0,513.0,,,,,,,,,,,,,,0.21381,4.5723,,,,,,,,,,,,,,3.0,18.0,,,,,,,,,,,,,,School Bus,21,4.78611,23.0,1404.266673306,MELB - Outer,Greater Melbourne
Y24H5740109,Y24H5740109P04,Y24H5740109P04JTE002,Weekday,FROM_HOME,Y24H5740109P04S01,490,Casey (C),TO_EDUCATION,Y24H5740109P04S02,513.0,Casey (C),Walking,School Bus,,,,,,,,,,,,,,Change Mode,Education,,,,,,,,,,,,,,Transport Feature,Place of education,,,,,,,,,,,,,,490.0,495.0,,,,,,,,,,,,,,493.0,513.0,,,,,,,,,,,,,,0.21381,4.5723,,,,,,,,,,,,,,3.0,18.0,,,,,,,,,,,,,,School Bus,21,4.78611,23.0,2949.606307617,MELB - Outer,Greater Melbourne
Y24H5740109,Y24H5740109P05,Y24H5740109P05JTE003,Weekday,FROM_HOME,Y24H5740109P05S01,490,Casey (C),TO_EDUCATION,Y24H5740109P05S01,510.0,Casey (C),Walking,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,490.0,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,0.93423,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,Walking,20,0.93423,20.0,1165.139175907,MELB - Outer,Greater Melbourne
Y24H5740131,Y24H5740131P03,Y24H5740131P03JTE004,Weekday,FROM_HOME,Y24H5740131P03S01,440,Casey (C),TO_EDUCATION,Y24H5740131P03S02,490.0,Monash (C),Walking,School Bus,,,,,,,,,,,,,,Change Mode,Education,,,,,,,,,,,,,,Transport Feature,Place of education,,,,,,,,,,,,,,440.0,450.0,,,,,,,,,,,,,,447.0,490.0,,,,,,,,,,,,,,0.45145,24.47758,,,,,,,,,,,,,,7.0,40.0,,,,,,,,,,,,,,School Bus,47,24.92903,50.0,1099.835321362,MELB - Outer,Greater Melbourne
Y24H5740131,Y24H5740131P04,Y24H5740131P04JTE005,Weekday,FROM_HOME,Y24H5740131P04S01,410,Casey (C),TO_EDUCATION,Y24H5740131P04S01,420.0,Casey (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,410.0,,,,,,,,,,,,,,,420.0,,,,,,,,,,,,,,,1.48545,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,Vehicle Passenger,10,1.48545,10.0,1937.859267351,MELB - Outer,Greater Melbourne
Y24H5740337,Y24H5740337P01,Y24H5740337P01JTE006,Weekday,FROM_HOME,Y24H5740337P01S01,540,Stonnington (C),TO_EDUCATION,Y24H5740337P01S01,570.0,Maribyrnong (C),Vehicle Driver,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,540.0,,,,,,,,,,,,,,,570.0,,,,,,,,,,,,,,,13.90308,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,Vehicle Driver,30,13.90308,30.0,1730.781281112,MELB - Inner,Greater Melbourne
Y24H5740337,Y24H5740337P02,Y24H5740337P02JTE007,Weekday,FROM_HOME,Y24H5740337P02S01,480,Stonnington (C),TO_EDUCATION,Y24H5740337P02S05,530.0,Glen Eira (C),Walking,Train,Walking,Public Bus,Walking,,,,,,,,,,,Change Mode,Change Mode,Change Mode,Change Mode,Education,,,,,,,,,,,Transport Feature,Transport Feature,Transport Feature,Transport Feature,Place of education,,,,,,,,,,,480.0,497.0,510.0,512.0,521.0,,,,,,,,,,,495.0,510.0,512.0,521.0,530.0,,,,,,,,,,,1.1714,7.41928,0.06167,3.43623,1.5391,,,,,,,,,,,15.0,13.0,2.0,9.0,9.0,,,,,,,,,,,Train,48,13.627679999999998,50.0,646.550865959,MELB - Inner,Greater Melbourne
Y24H5740340,Y24H5740340P02,Y24H5740340P02JTE008,Weekday,FROM_HOME,Y24H5740340P02S01,495,Stonnington (C),TO_EDUCATION,Y24H5740340P02S01,520.0,Stonnington (C),Walking,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,495.0,,,,,,,,,,,,,,,520.0,,,,,,,,,,,,,,,2.45053,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,Walking,25,2.45053,25.0,1008.253901433,MELB - Inner,Greater Melbourne
Y24H5740501,Y24H5740501P03,Y24H5740501P03JTE009,Weekday,FROM_HOME,Y24H5740501P03S01,505,Wyndham (C),TO_EDUCATION,Y24H5740501P03S01,510.0,Wyndham (C),Walking,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,505.0,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,0.38306,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Walking,5,0.38306,5.0,517.335691331,MELB - Outer,Greater Melbourne
Y24H5740501,Y24H5740501P04,Y24H5740501P04JTE010,Weekday,FROM_HOME,Y24H5740501P04S01,505,Wyndham (C),TO_EDUCATION,Y24H5740501P04S01,510.0,Wyndham (C),Walking,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,505.0,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,0.38306,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Walking,5,0.38306,5.0,517.335691331,MELB - Outer,Greater Melbourne
Y24H5740505,Y24H5740505P03,Y24H5740505P03JTE011,Weekday,FROM_HOME,Y24H5740505P03S01,470,Wyndham (C),TO_EDUCATION,Y24H5740505P03S03,490.0,Wyndham (C),Walking,Public Bus,Walking,,,,,,,,,,,,,Change Mode,Change Mode,Education,,,,,,,,,,,,,Transport Feature,Transport Feature,Place of education,,,,,,,,,,,,,470.0,475.0,485.0,,,,,,,,,,,,,475.0,485.0,490.0,,,,,,,,,,,,,0.28451,2.6056,0.3116,,,,,,,,,,,,,5.0,10.0,5.0,,,,,,,,,,,,,Public Bus,20,3.20171,20.0,1625.905959139,MELB - Outer,Greater Melbourne
Y24H5740519,Y24H5740519P03,Y24H5740519P03JTE012,Weekday,FROM_HOME,Y24H5740519P03S01,500,Wyndham (C),TO_EDUCATION,Y24H5740519P03S01,510.0,Wyndham (C),Walking,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,0.7363,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,Walking,10,0.7363,10.0,1276.990443275,MELB - Outer,Greater Melbourne
Y24H5740522,Y24H5740522P03,Y24H5740522P03JTE013,Weekday,FROM_HOME,Y24H5740522P03S01,480,Wyndham (C),TO_EDUCATION,Y24H5740522P03S01,494.0,Wyndham (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,480.0,,,,,,,,,,,,,,,494.0,,,,,,,,,,,,,,,8.78115,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,Vehicle Passenger,14,8.78115,14.0,967.736228875,MELB - Outer,Greater Melbourne
Y24H5740525,Y24H5740525P03,Y24H5740525P03JTE014,Weekday,FROM_HOME,Y24H5740525P03S01,510,Wyndham (C),TO_EDUCATION,Y24H5740525P03S01,515.0,Wyndham (C),Walking,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,515.0,,,,,,,,,,,,,,,0.14027,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Walking,5,0.14027,5.0,778.099703464,MELB - Outer,Greater Melbourne
Y24H5740525,Y24H5740525P04,Y24H5740525P04JTE015,Weekday,FROM_HOME,Y24H5740525P04S01,510,Wyndham (C),TO_EDUCATION,Y24H5740525P04S01,515.0,Wyndham (C),Walking,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,515.0,,,,,,,,,,,,,,,0.14027,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Walking,5,0.14027,5.0,778.099703464,MELB - Outer,Greater Melbourne
Y24H5740529,Y24H5740529P03,Y24H5740529P03JTE016,Weekday,FROM_HOME,Y24H5740529P03S01,510,Wyndham (C),TO_EDUCATION,Y24H5740529P03S01,515.0,Wyndham (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,515.0,,,,,,,,,,,,,,,0.53081,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Vehicle Passenger,5,0.53081,5.0,551.824737419,MELB - Outer,Greater Melbourne
Y24H5740530,Y24H5740530P03,Y24H5740530P03JTE017,Weekday,FROM_HOME,Y24H5740530P03S01,510,Wyndham (C),TO_EDUCATION,Y24H5740530P03S01,520.0,Wyndham (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,520.0,,,,,,,,,,,,,,,5.90582,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,Vehicle Passenger,10,5.90582,10.0,269.008335863,MELB - Outer,Greater Melbourne
Y24H5740533,Y24H5740533P03,Y24H5740533P03JTE018,Weekday,FROM_HOME,Y24H5740533P03S01,480,Wyndham (C),TO_EDUCATION,Y24H5740533P03S01,490.0,Wyndham (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,480.0,,,,,,,,,,,,,,,490.0,,,,,,,,,,,,,,,6.84792,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,Vehicle Passenger,10,6.84792,10.0,1420.362420689,MELB - Outer,Greater Melbourne
Y24H5750204,Y24H5750204P02,Y24H5750204P02JTE019,Weekday,FROM_HOME,Y24H5750204P02S01,465,Whitehorse (C),TO_EDUCATION,Y24H5750204P02S01,490.0,Boroondara (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,465.0,,,,,,,,,,,,,,,490.0,,,,,,,,,,,,,,,9.37015,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,Vehicle Passenger,25,9.37015,25.0,482.723910037,MELB - Middle,Greater Melbourne
Y24H5750216,Y24H5750216P03,Y24H5750216P03JTE020,Weekday,FROM_HOME,Y24H5750216P03S01,500,Whitehorse (C),TO_EDUCATION,Y24H5750216P03S01,512.0,Whitehorse (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,512.0,,,,,,,,,,,,,,,5.68043,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,Vehicle Passenger,12,5.68043,12.0,516.056246283,MELB - Middle,Greater Melbourne
Y24H5750233,Y24H5750233P03,Y24H5750233P03JTE021,Weekday,FROM_HOME,Y24H5750233P03S01,565,Whitehorse (C),TO_EDUCATION,Y24H5750233P03S05,630.0,Boroondara (C),Walking,Public Bus,Walking,Train,Walking,,,,,,,,,,,Change Mode,Change Mode,Change Mode,Change Mode,Education,,,,,,,,,,,Transport Feature,Transport Feature,Transport Feature,Transport Feature,Place of education,,,,,,,,,,,565.0,580.0,600.0,605.0,625.0,,,,,,,,,,,566.0,600.0,603.0,625.0,630.0,,,,,,,,,,,0.01823,4.42335,0.1541,8.96323,0.25973,,,,,,,,,,,1.0,20.0,3.0,20.0,5.0,,,,,,,,,,,Train,49,13.818639999999998,65.0,795.260765041,MELB - Middle,Greater Melbourne
Y24H5750324,Y24H5750324P03,Y24H5750324P03JTE022,Weekday,FROM_HOME,Y24H5750324P03S01,506,Maribyrnong (C),TO_EDUCATION,Y24H5750324P03S01,517.0,Maribyrnong (C),Walking,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,506.0,,,,,,,,,,,,,,,517.0,,,,,,,,,,,,,,,1.05425,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,Walking,11,1.05425,11.0,955.875355996,MELB - Middle,Greater Melbourne
Y24H5750333,Y24H5750333P03,Y24H5750333P03JTE023,Weekday,FROM_HOME,Y24H5750333P03S01,523,Maribyrnong (C),TO_EDUCATION,Y24H5750333P03S05,566.0,Melbourne (C),Walking,Public Bus,Walking,Train,Walking,,,,,,,,,,,Change Mode,Change Mode,Change Mode,Change Mode,Education,,,,,,,,,,,Transport Feature,Transport Feature,Transport Feature,Transport Feature,Place of education,,,,,,,,,,,523.0,528.0,542.0,548.0,563.0,,,,,,,,,,,526.0,542.0,543.0,563.0,566.0,,,,,,,,,,,0.29943,3.38465,0.08589,6.51735,0.27729,,,,,,,,,,,3.0,14.0,1.0,15.0,3.0,,,,,,,,,,,Train,36,10.564610000000002,43.0,1198.378620849,MELB - Middle,Greater Melbourne
Y24H5750333,Y24H5750333P04,Y24H5750333P04JTE024,Weekday,FROM_HOME,Y24H5750333P04S01,465,Maribyrnong (C),TO_EDUCATION,Y24H5750333P04S03,528.0,Melbourne (C),Walking,Tram,Walking,,,,,,,,,,,,,Change Mode,Change Mode,Education,,,,,,,,,,,,,Transport Feature,Transport Feature,Place of education,,,,,,,,,,,,,465.0,473.0,518.0,,,,,,,,,,,,,470.0,518.0,528.0,,,,,,,,,,,,,0.42038,7.14321,0.81539,,,,,,,,,,,,,5.0,45.0,10.0,,,,,,,,,,,,,Tram,60,8.37898,63.0,1855.386461497,MELB - Middle,Greater Melbourne
Y24H5750401,Y24H5750401P04,Y24H5750401P04JTE025,Weekday,FROM_HOME,Y24H5750401P04S01,630,Whittlesea (C),TO_EDUCATION,Y24H5750401P04S01,660.0,Darebin (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,630.0,,,,,,,,,,,,,,,660.0,,,,,,,,,,,,,,,28.60725,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,Vehicle Passenger,30,28.60725,30.0,548.46914142,MELB - Outer,Greater Melbourne
Y24H5750403,Y24H5750403P04,Y24H5750403P04JTE026,Weekday,FROM_HOME,Y24H5750403P04S01,440,Whittlesea (C),TO_EDUCATION,Y24H5750403P04S03,540.0,Hume (C),Walking,Public Bus,Walking,,,,,,,,,,,,,Change Mode,Change Mode,Education,,,,,,,,,,,,,Transport Feature,Transport Feature,Place of education,,,,,,,,,,,,,440.0,465.0,510.0,,,,,,,,,,,,,444.0,510.0,540.0,,,,,,,,,,,,,0.14294,8.8107,1.61418,,,,,,,,,,,,,4.0,45.0,30.0,,,,,,,,,,,,,Public Bus,79,10.56782,100.0,506.567115538,MELB - Outer,Greater Melbourne
Y24H5750403,Y24H5750403P05,Y24H5750403P05JTE027,Weekday,FROM_HOME,Y24H5750403P05S01,495,Whittlesea (C),TO_EDUCATION,Y24H5750403P05S03,515.0,Hume (C),Walking,Public Bus,Walking,,,,,,,,,,,,,Change Mode,Change Mode,Education,,,,,,,,,,,,,Transport Feature,Transport Feature,Place of education,,,,,,,,,,,,,495.0,505.0,508.0,,,,,,,,,,,,,498.0,508.0,515.0,,,,,,,,,,,,,0.14294,1.50497,0.41357,,,,,,,,,,,,,3.0,3.0,7.0,,,,,,,,,,,,,Public Bus,13,2.06148,20.0,502.50650724,MELB - Outer,Greater Melbourne
Y24H5750415,Y24H5750415P03,Y24H5750415P03JTE028,Weekday,FROM_HOME,Y24H5750415P03S01,501,Whittlesea (C),TO_EDUCATION,Y24H5750415P03S01,508.0,Whittlesea (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,501.0,,,,,,,,,,,,,,,508.0,,,,,,,,,,,,,,,3.47778,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,Vehicle Passenger,7,3.47778,7.0,804.057407846,MELB - Outer,Greater Melbourne
Y24H5750418,Y24H5750418P05,Y24H5750418P05JTE029,Weekday,FROM_HOME,Y24H5750418P05S01,495,Whittlesea (C),TO_EDUCATION,Y24H5750418P05S01,510.0,Whittlesea (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,495.0,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,2.13441,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,Vehicle Passenger,15,2.13441,15.0,1310.362552331,MELB - Outer,Greater Melbourne
Y24H5750420,Y24H5750420P01,Y24H5750420P01JTE030,Weekend,FROM_HOME,Y24H5750420P01S01,720,Whittlesea (C),TO_EDUCATION,Y24H5750420P01S03,839.0,Melbourne (C),Vehicle Driver,Vehicle Driver,Walking,,,,,,,,,,,,,Work Related,Change Mode,Education,,,,,,,,,,,,,Place of work,Transport Feature,Place of education,,,,,,,,,,,,,720.0,810.0,831.0,,,,,,,,,,,,,804.0,828.0,839.0,,,,,,,,,,,,,39.10472,4.30299,0.88639,,,,,,,,,,,,,84.0,18.0,8.0,,,,,,,,,,,,,Vehicle Driver,110,44.2941,119.0,268.44579161,MELB - Outer,Greater Melbourne
Y24H5750430,Y24H5750430P03,Y24H5750430P03JTE031,Weekday,FROM_HOME,Y24H5750430P03S01,521,Whittlesea (C),TO_EDUCATION,Y24H5750430P03S01,554.0,Moreland (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,521.0,,,,,,,,,,,,,,,554.0,,,,,,,,,,,,,,,23.42088,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,Vehicle Passenger,33,23.42088,33.0,719.659820532,MELB - Outer,Greater Melbourne
Y24H5750430,Y24H5750430P04,Y24H5750430P04JTE032,Weekday,FROM_HOME,Y24H5750430P04S01,521,Whittlesea (C),TO_EDUCATION,Y24H5750430P04S01,554.0,Moreland (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,521.0,,,,,,,,,,,,,,,554.0,,,,,,,,,,,,,,,23.42088,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,Vehicle Passenger,33,23.42088,33.0,1915.100508936,MELB - Outer,Greater Melbourne
Y24H5750436,Y24H5750436P04,Y24H5750436P04JTE033,Weekday,FROM_HOME,Y24H5750436P04S01,517,Whittlesea (C),TO_EDUCATION,Y24H5750436P04S01,533.0,Hume (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,517.0,,,,,,,,,,,,,,,533.0,,,,,,,,,,,,,,,7.0946,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,Vehicle Passenger,16,7.0946,16.0,426.987402591,MELB - Outer,Greater Melbourne
Y24H5760231,Y24H5760231P03,Y24H5760231P03JTE034,Weekday,FROM_HOME,Y24H5760231P03S01,450,Manningham (C),TO_EDUCATION,Y24H5760231P03S01,495.0,Whitehorse (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,450.0,,,,,,,,,,,,,,,495.0,,,,,,,,,,,,,,,24.53753,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,Vehicle Passenger,45,24.53753,45.0,500.525163432,MELB - Outer,Greater Melbourne
Y24H5760232,Y24H5760232P03,Y24H5760232P03JTE035,Weekday,FROM_HOME,Y24H5760232P03S01,525,Manningham (C),TO_EDUCATION,Y24H5760232P03S01,530.0,Manningham (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,525.0,,,,,,,,,,,,,,,530.0,,,,,,,,,,,,,,,1.21755,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Vehicle Passenger,5,1.21755,5.0,349.879338022,MELB - Outer,Greater Melbourne
Y24H5760310,Y24H5760310P02,Y24H5760310P02JTE036,Weekday,FROM_HOME,Y24H5760310P02S01,525,Bayside (C),TO_EDUCATION,Y24H5760310P02S01,530.0,Bayside (C),Walking,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,525.0,,,,,,,,,,,,,,,530.0,,,,,,,,,,,,,,,0.37082,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Walking,5,0.37082,5.0,2522.649924694,MELB - Middle,Greater Melbourne
Y24H5760329,Y24H5760329P03,Y24H5760329P03JTE037,Weekday,FROM_HOME,Y24H5760329P03S01,630,Bayside (C),TO_EDUCATION,Y24H5760329P03S01,675.0,Maribyrnong (C),Vehicle Driver,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,630.0,,,,,,,,,,,,,,,675.0,,,,,,,,,,,,,,,23.30882,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,Vehicle Driver,45,23.30882,45.0,640.613534447,MELB - Middle,Greater Melbourne
Y24H5760329,Y24H5760329P04,Y24H5760329P04JTE038,Weekday,FROM_HOME,Y24H5760329P04S01,495,Bayside (C),TO_EDUCATION,Y24H5760329P04S01,500.0,Bayside (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,495.0,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,2.55467,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Vehicle Passenger,5,2.55467,5.0,465.794163083,MELB - Middle,Greater Melbourne
Y24H5760331,Y24H5760331P03,Y24H5760331P03JTE039,Weekday,FROM_HOME,Y24H5760331P03S01,519,Bayside (C),TO_EDUCATION,Y24H5760331P03S01,522.0,Bayside (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,519.0,,,,,,,,,,,,,,,522.0,,,,,,,,,,,,,,,1.5763,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,Vehicle Passenger,3,1.5763,3.0,1322.988064409,MELB - Middle,Greater Melbourne
Y24H5760331,Y24H5760331P03,Y24H5760331P03JTE040,Weekday,FROM_HOME,Y24H5760331P03S07,1103,Bayside (C),TO_EDUCATION,Y24H5760331P03S07,1108.0,Bayside (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,1103.0,,,,,,,,,,,,,,,1108.0,,,,,,,,,,,,,,,1.5763,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Vehicle Passenger,5,1.5763,5.0,1322.988064409,MELB - Middle,Greater Melbourne
Y24H5760424,Y24H5760424P03,Y24H5760424P03JTE041,Weekday,FROM_HOME,Y24H5760424P03S01,510,Moonee Valley (C),TO_EDUCATION,Y24H5760424P03S01,515.0,Moonee Valley (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,515.0,,,,,,,,,,,,,,,1.25177,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Vehicle Passenger,5,1.25177,5.0,1931.272182385,MELB - Middle,Greater Melbourne
Y24H5760511,Y24H5760511P05,Y24H5760511P05JTE042,Weekday,FROM_HOME,Y24H5760511P05S01,411,Wyndham (C),TO_EDUCATION,Y24H5760511P05S01,470.0,Stonnington (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,411.0,,,,,,,,,,,,,,,470.0,,,,,,,,,,,,,,,29.00602,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,Vehicle Passenger,59,29.00602,59.0,960.618068304,MELB - Outer,Greater Melbourne
Y24H5760511,Y24H5760511P05,Y24H5760511P05JTE043,Weekday,FROM_HOME,Y24H5760511P05S03,1125,Wyndham (C),TO_EDUCATION,Y24H5760511P05S03,1135.0,Wyndham (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,1125.0,,,,,,,,,,,,,,,1135.0,,,,,,,,,,,,,,,4.57786,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,Vehicle Passenger,10,4.57786,10.0,960.618068304,MELB - Outer,Greater Melbourne
Y24H5760511,Y24H5760511P06,Y24H5760511P06JTE044,Weekday,FROM_HOME,Y24H5760511P06S01,411,Wyndham (C),TO_EDUCATION,Y24H5760511P06S01,470.0,Stonnington (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,411.0,,,,,,,,,,,,,,,470.0,,,,,,,,,,,,,,,29.00602,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,Vehicle Passenger,59,29.00602,59.0,929.169929503,MELB - Outer,Greater Melbourne
Y24H5760523,Y24H5760523P03,Y24H5760523P03JTE045,Weekday,FROM_HOME,Y24H5760523P03S01,483,Wyndham (C),TO_EDUCATION,Y24H5760523P03S01,494.0,Wyndham (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,483.0,,,,,,,,,,,,,,,494.0,,,,,,,,,,,,,,,5.73664,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,Vehicle Passenger,11,5.73664,11.0,951.134047647,MELB - Outer,Greater Melbourne
