hhid,persid,jtwid,dayType,start_loc,start_stopid,start_time,start_LGA,end_loc,end_stopid,end_time,end_LGA,mainmode_desc_01,mainmode_desc_02,mainmode_desc_03,mainmode_desc_04,mainmode_desc_05,mainmode_desc_06,mainmode_desc_07,mainmode_desc_08,mainmode_desc_09,mainmode_desc_10,mainmode_desc_11,mainmode_desc_12,mainmode_desc_13,mainmode_desc_14,mainmode_desc_15,destpurp1_desc_01,destpurp1_desc_02,destpurp1_desc_03,destpurp1_desc_04,destpurp1_desc_05,destpurp1_desc_06,destpurp1_desc_07,destpurp1_desc_08,destpurp1_desc_09,destpurp1_desc_10,destpurp1_desc_11,destpurp1_desc_12,destpurp1_desc_13,destpurp1_desc_14,destpurp1_desc_15,destplace1_desc_01,destplace1_desc_02,destplace1_desc_03,destplace1_desc_04,destplace1_desc_05,destplace1_desc_06,destplace1_desc_07,destplace1_desc_08,destplace1_desc_09,destplace1_desc_10,destplace1_desc_11,destplace1_desc_12,destplace1_desc_13,destplace1_desc_14,destplace1_desc_15,startime_01,startime_02,startime_03,startime_04,startime_05,startime_06,startime_07,startime_08,startime_09,startime_10,startime_11,startime_12,startime_13,startime_14,startime_15,arrtime_01,arrtime_02,arrtime_03,arrtime_04,arrtime_05,arrtime_06,arrtime_07,arrtime_08,arrtime_09,arrtime_10,arrtime_11,arrtime_12,arrtime_13,arrtime_14,arrtime_15,vistadist_01,vistadist_02,vistadist_03,vistadist_04,vistadist_05,vistadist_06,vistadist_07,vistadist_08,vistadist_09,vistadist_10,vistadist_11,vistadist_12,vistadist_13,vistadist_14,vistadist_15,travtime_01,travtime_02,travtime_03,travtime_04,travtime_05,travtime_06,travtime_07,travtime_08,travtime_09,travtime_10,travtime_11,travtime_12,travtime_13,travtime_14,travtime_15,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS
Y24H5740102,Y24H5740102P02,Y24H5740102P02JTW0001,Weekday,FROM_HOME,Y24H5740102P02S01,455,Casey (C),TO_WORK,Y24H5740102P02S01,480.0,Greater Dandenong (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,455.0,,,,,,,,,,,,,,,480.0,,,,,,,,,,,,,,,12.89117,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,Vehicle Driver,25,12.89117,25.0,652.818030841,MELB - Outer,Greater Melbourne
Y24H5740109,Y24H5740109P02,Y24H5740109P02JTW0002,Weekday,FROM_HOME,Y24H5740109P02S01,450,Casey (C),TO_WORK,Y24H5740109P02S01,454.0,Casey (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,450.0,,,,,,,,,,,,,,,454.0,,,,,,,,,,,,,,,1.33689,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,Vehicle Driver,4,1.33689,4.0,760.235357962,MELB - Outer,Greater Melbourne
Y24H5740110,Y24H5740110P03,Y24H5740110P03JTW0003,Weekday,FROM_HOME,Y24H5740110P03S01,395,Casey (C),TO_WORK,Y24H5740110P03S01,405.0,Casey (C),Vehicle Passenger,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,395.0,,,,,,,,,,,,,,,405.0,,,,,,,,,,,,,,,9.42059,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,Vehicle Passenger,10,9.42059,10.0,603.756453587,MELB - Outer,Greater Melbourne
Y24H5740111,Y24H5740111P01,Y24H5740111P01JTW0004,Weekday,FROM_HOME,Y24H5740111P01S01,560,Casey (C),TO_WORK,Y24H5740111P01S01,590.0,Frankston (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,560.0,,,,,,,,,,,,,,,590.0,,,,,,,,,,,,,,,20.87897,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,Vehicle Driver,30,20.87897,30.0,348.746406172,MELB - Outer,Greater Melbourne
Y24H5740111,Y24H5740111P02,Y24H5740111P02JTW0005,Weekday,FROM_HOME,Y24H5740111P02S01,421,Casey (C),TO_WORK,Y24H5740111P02S02,568.0,Ballarat (C),Vehicle Driver,Vehicle Driver,,,,,,,,,,,,,,Buy Something,Work Related,,,,,,,,,,,,,,Retail venue,Place of work,,,,,,,,,,,,,,421.0,515.0,,,,,,,,,,,,,,508.0,568.0,,,,,,,,,,,,,,87.50492,101.58203,,,,,,,,,,,,,,87.0,53.0,,,,,,,,,,,,,,Vehicle Driver,140,189.08695,147.0,696.78161167,MELB - Outer,Greater Melbourne
Y24H5740119,Y24H5740119P01,Y24H5740119P01JTW0006,Weekday,FROM_HOME,Y24H5740119P01S05,569,Casey (C),TO_WORK,Y24H5740119P01S07,651.0,Melbourne (C),Vehicle Driver,Train,Walking,,,,,,,,,,,,,Change Mode,Change Mode,Work Related,,,,,,,,,,,,,Transport Feature,Transport Feature,Place of work,,,,,,,,,,,,,569.0,580.0,637.0,,,,,,,,,,,,,575.0,633.0,651.0,,,,,,,,,,,,,3.34288,47.26094,1.00869,,,,,,,,,,,,,6.0,53.0,14.0,,,,,,,,,,,,,Train,73,51.61251,82.0,346.716334742,MELB - Outer,Greater Melbourne
Y24H5740120,Y24H5740120P01,Y24H5740120P01JTW0007,Weekend,FROM_HOME,Y24H5740120P01S01,537,Casey (C),TO_WORK,Y24H5740120P01S02,565.0,Casey (C),Vehicle Driver,Vehicle Driver,,,,,,,,,,,,,,Buy Something,Work Related,,,,,,,,,,,,,,Retail venue,Place of work,,,,,,,,,,,,,,537.0,546.0,,,,,,,,,,,,,,543.0,565.0,,,,,,,,,,,,,,2.25009,13.14107,,,,,,,,,,,,,,6.0,19.0,,,,,,,,,,,,,,Vehicle Driver,25,15.39116,28.0,427.276622314,MELB - Outer,Greater Melbourne
Y24H5740123,Y24H5740123P01,Y24H5740123P01JTW0008,Weekday,FROM_HOME,Y24H5740123P01S01,486,Casey (C),TO_WORK,Y24H5740123P01S02,510.0,Greater Dandenong (C),Vehicle Driver,Vehicle Driver,,,,,,,,,,,,,,Buy Something,Work Related,,,,,,,,,,,,,,Retail venue,Place of work,,,,,,,,,,,,,,486.0,502.0,,,,,,,,,,,,,,499.0,510.0,,,,,,,,,,,,,,7.46789,4.96878,,,,,,,,,,,,,,13.0,8.0,,,,,,,,,,,,,,Vehicle Driver,21,12.43667,24.0,433.329068446,MELB - Outer,Greater Melbourne
Y24H5740129,Y24H5740129P03,Y24H5740129P03JTW0009,Weekday,FROM_HOME,Y24H5740129P03S01,491,Casey (C),TO_WORK,Y24H5740129P03S01,532.0,Manningham (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,491.0,,,,,,,,,,,,,,,532.0,,,,,,,,,,,,,,,42.83731,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,Vehicle Driver,41,42.83731,41.0,734.497298419,MELB - Outer,Greater Melbourne
Y24H5740129,Y24H5740129P03,Y24H5740129P03JTW0010,Weekday,FROM_HOME,Y24H5740129P03S10,1100,Casey (C),TO_WORK,Y24H5740129P03S10,1111.0,Casey (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,1100.0,,,,,,,,,,,,,,,1111.0,,,,,,,,,,,,,,,8.61913,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,Vehicle Driver,11,8.61913,11.0,734.497298419,MELB - Outer,Greater Melbourne
Y24H5740131,Y24H5740131P02,Y24H5740131P02JTW0011,Weekday,FROM_HOME,Y24H5740131P02S01,410,Casey (C),TO_WORK,Y24H5740131P02S02,480.0,Greater Dandenong (C),Vehicle Driver,Vehicle Driver,,,,,,,,,,,,,,Pick-up or Drop-off Someone,Work Related,,,,,,,,,,,,,,Place of education,Place of work,,,,,,,,,,,,,,410.0,420.0,,,,,,,,,,,,,,420.0,480.0,,,,,,,,,,,,,,1.48545,20.43636,,,,,,,,,,,,,,10.0,60.0,,,,,,,,,,,,,,Vehicle Driver,70,21.92181,70.0,946.335436235,MELB - Outer,Greater Melbourne
Y24H5740331,Y24H5740331P01,Y24H5740331P01JTW0012,Weekday,FROM_HOME,Y24H5740331P01S01,525,Stonnington (C),TO_WORK,Y24H5740331P01S01,535.0,Stonnington (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,525.0,,,,,,,,,,,,,,,535.0,,,,,,,,,,,,,,,1.03956,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,Vehicle Driver,10,1.03956,10.0,1108.648322595,MELB - Inner,Greater Melbourne
Y24H5740340,Y24H5740340P01,Y24H5740340P01JTW0013,Weekday,FROM_HOME,Y24H5740340P01S01,570,Stonnington (C),TO_WORK,Y24H5740340P01S01,605.0,Melbourne (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,570.0,,,,,,,,,,,,,,,605.0,,,,,,,,,,,,,,,11.99826,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,Vehicle Driver,35,11.99826,35.0,641.679404901,MELB - Inner,Greater Melbourne
Y24H5740505,Y24H5740505P01,Y24H5740505P01JTW0014,Weekday,FROM_HOME,Y24H5740505P01S01,396,Wyndham (C),TO_WORK,Y24H5740505P01S01,425.0,Melton (S),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,396.0,,,,,,,,,,,,,,,425.0,,,,,,,,,,,,,,,17.22882,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,Vehicle Driver,29,17.22882,29.0,477.382773928,MELB - Outer,Greater Melbourne
Y24H5740505,Y24H5740505P01,Y24H5740505P01JTW0015,Weekday,FROM_HOME,Y24H5740505P01S03,1040,Wyndham (C),TO_WORK,Y24H5740505P01S03,1077.0,Hobsons Bay (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,1040.0,,,,,,,,,,,,,,,1077.0,,,,,,,,,,,,,,,28.58858,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,Vehicle Driver,37,28.58858,37.0,477.382773928,MELB - Outer,Greater Melbourne
Y24H5740510,Y24H5740510P02,Y24H5740510P02JTW0016,Weekday,FROM_HOME,Y24H5740510P02S01,412,Wyndham (C),TO_WORK,Y24H5740510P02S05,487.0,Glen Eira (C),Vehicle Passenger,Train,Walking,Public Bus,Walking,,,,,,,,,,,Change Mode,Change Mode,Change Mode,Change Mode,Work Related,,,,,,,,,,,Transport Feature,Transport Feature,Transport Feature,Transport Feature,Place of work,,,,,,,,,,,412.0,435.0,462.0,477.0,485.0,,,,,,,,,,,425.0,462.0,465.0,485.0,487.0,,,,,,,,,,,6.62414,33.71046,0.18074,3.6364,0.15091,,,,,,,,,,,13.0,27.0,3.0,8.0,2.0,,,,,,,,,,,Train,53,44.30265,75.0,306.537486477,MELB - Outer,Greater Melbourne
Y24H5740517,Y24H5740517P01,Y24H5740517P01JTW0017,Weekday,FROM_HOME,Y24H5740517P01S01,447,Wyndham (C),TO_WORK,Y24H5740517P01S02,476.0,Melton (S),Vehicle Driver,Vehicle Driver,,,,,,,,,,,,,,Pick-up or Drop-off Someone,Work Related,,,,,,,,,,,,,,Retail venue,Place of work,,,,,,,,,,,,,,447.0,459.0,,,,,,,,,,,,,,459.0,476.0,,,,,,,,,,,,,,7.01617,11.97325,,,,,,,,,,,,,,12.0,17.0,,,,,,,,,,,,,,Vehicle Driver,29,18.98942,29.0,992.235991306,MELB - Outer,Greater Melbourne
Y24H5740517,Y24H5740517P02,Y24H5740517P02JTW0018,Weekday,FROM_HOME,Y24H5740517P02S01,447,Wyndham (C),TO_WORK,Y24H5740517P02S01,459.0,Wyndham (C),Vehicle Passenger,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,447.0,,,,,,,,,,,,,,,459.0,,,,,,,,,,,,,,,7.01617,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,Vehicle Passenger,12,7.01617,12.0,649.109169529,MELB - Outer,Greater Melbourne
Y24H5740530,Y24H5740530P02,Y24H5740530P02JTW0019,Weekday,FROM_HOME,Y24H5740530P02S01,375,Wyndham (C),TO_WORK,Y24H5740530P02S01,404.0,Melton (S),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,375.0,,,,,,,,,,,,,,,404.0,,,,,,,,,,,,,,,16.82733,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,Vehicle Driver,29,16.82733,29.0,488.765064209,MELB - Outer,Greater Melbourne
Y24H5740533,Y24H5740533P01,Y24H5740533P01JTW0020,Weekday,FROM_HOME,Y24H5740533P01S03,600,Wyndham (C),TO_WORK,Y24H5740533P01S03,660.0,Yarra (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,600.0,,,,,,,,,,,,,,,660.0,,,,,,,,,,,,,,,42.70477,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,Vehicle Driver,60,42.70477,60.0,402.847679723,MELB - Outer,Greater Melbourne
Y24H5740533,Y24H5740533P02,Y24H5740533P02JTW0021,Weekday,FROM_HOME,Y24H5740533P02S01,330,Wyndham (C),TO_WORK,Y24H5740533P02S01,360.0,Wyndham (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,330.0,,,,,,,,,,,,,,,360.0,,,,,,,,,,,,,,,13.38469,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,Vehicle Driver,30,13.38469,30.0,503.610819361,MELB - Outer,Greater Melbourne
Y24H5740536,Y24H5740536P01,Y24H5740536P01JTW0022,Weekday,FROM_HOME,Y24H5740536P01S01,552,Wyndham (C),TO_WORK,Y24H5740536P01S01,564.0,Wyndham (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,552.0,,,,,,,,,,,,,,,564.0,,,,,,,,,,,,,,,9.24683,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,Vehicle Driver,12,9.24683,12.0,610.972399041,MELB - Outer,Greater Melbourne
Y24H5740539,Y24H5740539P01,Y24H5740539P01JTW0023,Weekday,FROM_HOME,Y24H5740539P01S01,360,Wyndham (C),TO_WORK,Y24H5740539P01S01,380.0,Brimbank (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,360.0,,,,,,,,,,,,,,,380.0,,,,,,,,,,,,,,,19.52765,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,Vehicle Driver,20,19.52765,20.0,477.981506367,MELB - Outer,Greater Melbourne
Y24H5740539,Y24H5740539P02,Y24H5740539P02JTW0024,Weekday,FROM_HOME,Y24H5740539P02S01,360,Wyndham (C),TO_WORK,Y24H5740539P02S01,380.0,Brimbank (C),Vehicle Passenger,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,360.0,,,,,,,,,,,,,,,380.0,,,,,,,,,,,,,,,19.52765,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,Vehicle Passenger,20,19.52765,20.0,597.537655488,MELB - Outer,Greater Melbourne
Y24H5750123,Y24H5750123P01,Y24H5750123P01JTW0025,Weekday,FROM_HOME,Y24H5750123P01S01,531,Mornington Peninsula (S),TO_WORK,Y24H5750123P01S01,535.0,Mornington Peninsula (S),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,531.0,,,,,,,,,,,,,,,535.0,,,,,,,,,,,,,,,1.94153,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,Vehicle Driver,4,1.94153,4.0,610.56982043,MELB - Outer,Greater Melbourne
Y24H5750123,Y24H5750123P01,Y24H5750123P01JTW0026,Weekday,FROM_HOME,Y24H5750123P01S06,949,Mornington Peninsula (S),TO_WORK,Y24H5750123P01S06,952.0,Mornington Peninsula (S),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,949.0,,,,,,,,,,,,,,,952.0,,,,,,,,,,,,,,,1.94153,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,Vehicle Driver,3,1.94153,3.0,610.56982043,MELB - Outer,Greater Melbourne
Y24H5750208,Y24H5750208P01,Y24H5750208P01JTW0027,Weekday,FROM_HOME,Y24H5750208P01S01,435,Whitehorse (C),TO_WORK,Y24H5750208P01S01,470.0,Melbourne (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,435.0,,,,,,,,,,,,,,,470.0,,,,,,,,,,,,,,,20.61367,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,Vehicle Driver,35,20.61367,35.0,453.38197222,MELB - Middle,Greater Melbourne
Y24H5750208,Y24H5750208P02,Y24H5750208P02JTW0028,Weekday,FROM_HOME,Y24H5750208P02S01,405,Whitehorse (C),TO_WORK,Y24H5750208P02S01,435.0,Port Phillip (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,405.0,,,,,,,,,,,,,,,435.0,,,,,,,,,,,,,,,18.65665,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,Vehicle Driver,30,18.65665,30.0,943.817870751,MELB - Middle,Greater Melbourne
Y24H5750217,Y24H5750217P01,Y24H5750217P01JTW0029,Weekday,FROM_HOME,Y24H5750217P01S01,472,Whitehorse (C),TO_WORK,Y24H5750217P01S01,498.0,Knox (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,472.0,,,,,,,,,,,,,,,498.0,,,,,,,,,,,,,,,17.35503,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,Vehicle Driver,26,17.35503,26.0,482.756360268,MELB - Middle,Greater Melbourne
Y24H5750217,Y24H5750217P02,Y24H5750217P02JTW0030,Weekday,FROM_HOME,Y24H5750217P02S01,390,Whitehorse (C),TO_WORK,Y24H5750217P02S01,397.0,Boroondara (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,390.0,,,,,,,,,,,,,,,397.0,,,,,,,,,,,,,,,5.34105,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,Vehicle Driver,7,5.34105,7.0,842.910830617,MELB - Middle,Greater Melbourne
Y24H5750218,Y24H5750218P01,Y24H5750218P01JTW0031,Weekday,FROM_HOME,Y24H5750218P01S03,451,Whitehorse (C),TO_WORK,Y24H5750218P01S05,501.0,Yarra (C),Vehicle Driver,Train,Walking,,,,,,,,,,,,,Change Mode,Change Mode,Work Related,,,,,,,,,,,,,Transport Feature,Transport Feature,Personal services,,,,,,,,,,,,,451.0,469.0,492.0,,,,,,,,,,,,,463.0,490.0,501.0,,,,,,,,,,,,,6.62048,11.55756,0.57657,,,,,,,,,,,,,12.0,21.0,9.0,,,,,,,,,,,,,Train,42,18.75461,50.0,648.35110364,MELB - Middle,Greater Melbourne
Y24H5750224,Y24H5750224P01,Y24H5750224P01JTW0032,Weekday,FROM_HOME,Y24H5750224P01S01,320,Whitehorse (C),TO_WORK,Y24H5750224P01S01,380.0,Yarra (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,320.0,,,,,,,,,,,,,,,380.0,,,,,,,,,,,,,,,18.61169,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,Vehicle Driver,60,18.61169,60.0,2638.999146045,MELB - Middle,Greater Melbourne
Y24H5750233,Y24H5750233P01,Y24H5750233P01JTW0033,Weekday,FROM_HOME,Y24H5750233P01S01,450,Whitehorse (C),TO_WORK,Y24H5750233P01S01,475.0,Banyule (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,450.0,,,,,,,,,,,,,,,475.0,,,,,,,,,,,,,,,17.11809,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,Vehicle Driver,25,17.11809,25.0,795.260765041,MELB - Middle,Greater Melbourne
Y24H5750235,Y24H5750235P02,Y24H5750235P02JTW0034,Weekend,FROM_HOME,Y24H5750235P02S01,585,Whitehorse (C),TO_WORK,Y24H5750235P02S01,605.0,Monash (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,585.0,,,,,,,,,,,,,,,605.0,,,,,,,,,,,,,,,9.22855,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,Vehicle Driver,20,9.22855,20.0,1376.586534104,MELB - Middle,Greater Melbourne
Y24H5750239,Y24H5750239P01,Y24H5750239P01JTW0035,Weekday,FROM_HOME,Y24H5750239P01S01,490,Whitehorse (C),TO_WORK,Y24H5750239P01S01,525.0,Boroondara (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,490.0,,,,,,,,,,,,,,,525.0,,,,,,,,,,,,,,,13.8802,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,Vehicle Driver,35,13.8802,35.0,1517.558354572,MELB - Middle,Greater Melbourne
Y24H5750239,Y24H5750239P03,Y24H5750239P03JTW0036,Weekday,FROM_HOME,Y24H5750239P03S01,470,Whitehorse (C),TO_WORK,Y24H5750239P03S01,530.0,Hume (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,470.0,,,,,,,,,,,,,,,530.0,,,,,,,,,,,,,,,39.60458,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,Vehicle Driver,60,39.60458,60.0,1393.83663153,MELB - Middle,Greater Melbourne
Y24H5750239,Y24H5750239P05,Y24H5750239P05JTW0037,Weekday,FROM_HOME,Y24H5750239P05S01,490,Whitehorse (C),TO_WORK,Y24H5750239P05S01,525.0,Boroondara (C),Vehicle Passenger,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,490.0,,,,,,,,,,,,,,,525.0,,,,,,,,,,,,,,,13.8802,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,Vehicle Passenger,35,13.8802,35.0,2364.889079331,MELB - Middle,Greater Melbourne
Y24H5750309,Y24H5750309P02,Y24H5750309P02JTW0038,Weekday,FROM_HOME,Y24H5750309P02S01,424,Maribyrnong (C),TO_WORK,Y24H5750309P02S02,509.0,Monash (C),Vehicle Driver,Vehicle Driver,,,,,,,,,,,,,,Buy Something,Work Related,,,,,,,,,,,,,,Retail venue,Place of work,,,,,,,,,,,,,,424.0,466.0,,,,,,,,,,,,,,464.0,509.0,,,,,,,,,,,,,,16.77562,18.93059,,,,,,,,,,,,,,40.0,43.0,,,,,,,,,,,,,,Vehicle Driver,83,35.70621,85.0,582.490959729,MELB - Middle,Greater Melbourne
Y24H5750320,Y24H5750320P03,Y24H5750320P03JTW0039,Weekend,FROM_HOME,Y24H5750320P03S01,680,Maribyrnong (C),TO_WORK,Y24H5750320P03S01,685.0,Maribyrnong (C),Vehicle Passenger,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,680.0,,,,,,,,,,,,,,,685.0,,,,,,,,,,,,,,,2.60045,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Vehicle Passenger,5,2.60045,5.0,1213.573257803,MELB - Middle,Greater Melbourne
Y24H5750320,Y24H5750320P04,Y24H5750320P04JTW0040,Weekend,FROM_HOME,Y24H5750320P04S03,930,Maribyrnong (C),TO_WORK,Y24H5750320P04S05,960.0,Maribyrnong (C),Walking,Public Bus,Walking,,,,,,,,,,,,,Change Mode,Change Mode,Work Related,,,,,,,,,,,,,Transport Feature,Transport Feature,Retail venue,,,,,,,,,,,,,930.0,946.0,951.0,,,,,,,,,,,,,938.0,951.0,960.0,,,,,,,,,,,,,0.59529,2.15519,0.19268,,,,,,,,,,,,,8.0,5.0,9.0,,,,,,,,,,,,,Public Bus,22,2.94316,30.0,1213.573257803,MELB - Middle,Greater Melbourne
Y24H5750324,Y24H5750324P01,Y24H5750324P01JTW0041,Weekday,FROM_HOME,Y24H5750324P01S04,842,Maribyrnong (C),TO_WORK,Y24H5750324P01S04,859.0,Brimbank (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,842.0,,,,,,,,,,,,,,,859.0,,,,,,,,,,,,,,,7.73723,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,Vehicle Driver,17,7.73723,17.0,560.101828454,MELB - Middle,Greater Melbourne
Y24H5750333,Y24H5750333P01,Y24H5750333P01JTW0042,Weekday,FROM_HOME,Y24H5750333P01S01,410,Maribyrnong (C),TO_WORK,Y24H5750333P01S01,445.0,Wyndham (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,410.0,,,,,,,,,,,,,,,445.0,,,,,,,,,,,,,,,24.80787,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,Vehicle Driver,35,24.80787,35.0,1861.535584934,MELB - Middle,Greater Melbourne
Y24H5750401,Y24H5750401P01,Y24H5750401P01JTW0043,Weekday,FROM_HOME,Y24H5750401P01S01,390,Whittlesea (C),TO_WORK,Y24H5750401P01S01,420.0,Hume (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,390.0,,,,,,,,,,,,,,,420.0,,,,,,,,,,,,,,,15.49056,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,Vehicle Driver,30,15.49056,30.0,435.600356185,MELB - Outer,Greater Melbourne
Y24H5750401,Y24H5750401P03,Y24H5750401P03JTW0044,Weekday,FROM_HOME,Y24H5750401P03S01,630,Whittlesea (C),TO_WORK,Y24H5750401P03S02,690.0,Whittlesea (C),Vehicle Driver,Vehicle Driver,,,,,,,,,,,,,,Pick-up or Drop-off Someone,Work Related,,,,,,,,,,,,,,Place of education,Retail venue,,,,,,,,,,,,,,630.0,660.0,,,,,,,,,,,,,,660.0,690.0,,,,,,,,,,,,,,28.60725,10.43842,,,,,,,,,,,,,,30.0,30.0,,,,,,,,,,,,,,Vehicle Driver,60,39.04567,60.0,435.600356185,MELB - Outer,Greater Melbourne
Y24H5750403,Y24H5750403P01,Y24H5750403P01JTW0045,Weekday,FROM_HOME,Y24H5750403P01S01,332,Whittlesea (C),TO_WORK,Y24H5750403P01S01,349.0,Hume (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,332.0,,,,,,,,,,,,,,,349.0,,,,,,,,,,,,,,,19.93495,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,Vehicle Driver,17,19.93495,17.0,309.990096313,MELB - Outer,Greater Melbourne
