hhid,persid,jtwid,dayType,start_loc,start_stopid,start_time,start_LGA,end_loc,end_stopid,end_time,end_LGA,mainmode_desc_01,mainmode_desc_02,mainmode_desc_03,mainmode_desc_04,mainmode_desc_05,mainmode_desc_06,mainmode_desc_07,mainmode_desc_08,mainmode_desc_09,mainmode_desc_10,mainmode_desc_11,mainmode_desc_12,mainmode_desc_13,mainmode_desc_14,mainmode_desc_15,destpurp1_desc_01,destpurp1_desc_02,destpurp1_desc_03,destpurp1_desc_04,destpurp1_desc_05,destpurp1_desc_06,destpurp1_desc_07,destpurp1_desc_08,destpurp1_desc_09,destpurp1_desc_10,destpurp1_desc_11,destpurp1_desc_12,destpurp1_desc_13,destpurp1_desc_14,destpurp1_desc_15,destplace1_desc_01,destplace1_desc_02,destplace1_desc_03,destplace1_desc_04,destplace1_desc_05,destplace1_desc_06,destplace1_desc_07,destplace1_desc_08,destplace1_desc_09,destplace1_desc_10,destplace1_desc_11,destplace1_desc_12,destplace1_desc_13,destplace1_desc_14,destplace1_desc_15,startime_01,startime_02,startime_03,startime_04,startime_05,startime_06,startime_07,startime_08,startime_09,startime_10,startime_11,startime_12,startime_13,startime_14,startime_15,arrtime_01,arrtime_02,arrtime_03,arrtime_04,arrtime_05,arrtime_06,arrtime_07,arrtime_08,arrtime_09,arrtime_10,arrtime_11,arrtime_12,arrtime_13,arrtime_14,arrtime_15,vistadist_01,vistadist_02,vistadist_03,vistadist_04,vistadist_05,vistadist_06,vistadist_07,vistadist_08,vistadist_09,vistadist_10,vistadist_11,vistadist_12,vistadist_13,vistadist_14,vistadist_15,travtime_01,travtime_02,travtime_03,travtime_04,travtime_05,travtime_06,travtime_07,travtime_08,travtime_09,travtime_10,travtime_11,travtime_12,travtime_13,travtime_14,travtime_15,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS
Y24H6190408,Y24H6190408P02,Y24H6190408P02JTW1652,Weekday,FROM_HOME,Y24H6190408P02S01,405,Darebin (C),TO_WORK,Y24H6190408P02S01,427.0,Hume (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,405.0,,,,,,,,,,,,,,,427.0,,,,,,,,,,,,,,,14.68818,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,Vehicle Driver,22,14.68818,22.0,1568.027728186,MELB - Middle,Greater Melbourne
Y24H6200105,Y24H6200105P01,Y24H6200105P01JTW1653,Weekday,FROM_HOME,Y24H6200105P01S01,420,Mornington Peninsula (S),TO_WORK,Y24H6200105P01S01,480.0,Mornington Peninsula (S),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,420.0,,,,,,,,,,,,,,,480.0,,,,,,,,,,,,,,,23.60124,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,Vehicle Driver,60,23.60124,60.0,565.615297362,MELB - Outer,Greater Melbourne
Y24H6200105,Y24H6200105P02,Y24H6200105P02JTW1654,Weekday,FROM_HOME,Y24H6200105P02S01,690,Mornington Peninsula (S),TO_WORK,Y24H6200105P02S02,780.0,Whitehorse (C),Vehicle Driver,Vehicle Driver,,,,,,,,,,,,,,Buy Something,Work Related,,,,,,,,,,,,,,Retail venue,Place of work,,,,,,,,,,,,,,690.0,710.0,,,,,,,,,,,,,,700.0,780.0,,,,,,,,,,,,,,3.6863,81.1024,,,,,,,,,,,,,,10.0,70.0,,,,,,,,,,,,,,Vehicle Driver,80,84.7887,90.0,352.685585715,MELB - Outer,Greater Melbourne
Y24H6200110,Y24H6200110P01,Y24H6200110P01JTW1655,Weekday,FROM_HOME,Y24H6200110P01S01,480,Mornington Peninsula (S),TO_WORK,Y24H6200110P01S02,518.0,Mornington Peninsula (S),Vehicle Driver,Vehicle Driver,,,,,,,,,,,,,,Personal Business,Work Related,,,,,,,,,,,,,,Transport Feature,Place of work,,,,,,,,,,,,,,480.0,517.0,,,,,,,,,,,,,,514.0,518.0,,,,,,,,,,,,,,31.82506,0.73402,,,,,,,,,,,,,,34.0,1.0,,,,,,,,,,,,,,Vehicle Driver,35,32.55908,38.0,250.380003507,MELB - Outer,Greater Melbourne
Y24H6200110,Y24H6200110P02,Y24H6200110P02JTW1656,Weekday,FROM_HOME,Y24H6200110P02S01,485,Mornington Peninsula (S),TO_WORK,Y24H6200110P02S01,545.0,Mornington Peninsula (S),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,485.0,,,,,,,,,,,,,,,545.0,,,,,,,,,,,,,,,34.36938,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,Vehicle Driver,60,34.36938,60.0,394.473792364,MELB - Outer,Greater Melbourne
Y24H6200116,Y24H6200116P01,Y24H6200116P01JTW1657,Weekday,FROM_HOME,Y24H6200116P01S01,510,Mornington Peninsula (S),TO_WORK,Y24H6200116P01S02,530.0,Mornington Peninsula (S),Vehicle Driver,Vehicle Driver,,,,,,,,,,,,,,Pick-up or Drop-off Someone,Work Related,,,,,,,,,,,,,,Place of education,Place of work,,,,,,,,,,,,,,510.0,521.0,,,,,,,,,,,,,,520.0,530.0,,,,,,,,,,,,,,2.25467,2.52901,,,,,,,,,,,,,,10.0,9.0,,,,,,,,,,,,,,Vehicle Driver,19,4.78368,20.0,387.64788947,MELB - Outer,Greater Melbourne
Y24H6200126,Y24H6200126P01,Y24H6200126P01JTW1658,Weekday,FROM_HOME,Y24H6200126P01S01,600,Mornington Peninsula (S),TO_WORK,Y24H6200126P01S01,660.0,Greater Dandenong (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,600.0,,,,,,,,,,,,,,,660.0,,,,,,,,,,,,,,,67.2932,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,Vehicle Driver,60,67.2932,60.0,1117.174668582,MELB - Outer,Greater Melbourne
Y24H6200136,Y24H6200136P01,Y24H6200136P01JTW1659,Weekday,FROM_HOME,Y24H6200136P01S01,285,Mornington Peninsula (S),TO_WORK,Y24H6200136P01S01,291.0,Mornington Peninsula (S),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,285.0,,,,,,,,,,,,,,,291.0,,,,,,,,,,,,,,,3.29485,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,Vehicle Driver,6,3.29485,6.0,817.020707628,MELB - Outer,Greater Melbourne
Y24H6200139,Y24H6200139P01,Y24H6200139P01JTW1660,Weekday,FROM_HOME,Y24H6200139P01S01,360,Mornington Peninsula (S),TO_WORK,Y24H6200139P01S01,405.0,Mornington Peninsula (S),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,360.0,,,,,,,,,,,,,,,405.0,,,,,,,,,,,,,,,9.9825,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,Vehicle Driver,45,9.9825,45.0,1161.012324744,MELB - Outer,Greater Melbourne
Y24H6200304,Y24H6200304P01,Y24H6200304P01JTW1661,Weekday,FROM_HOME,Y24H6200304P01S01,510,Bayside (C),TO_WORK,Y24H6200304P01S03,550.0,Glen Eira (C),Vehicle Driver,Vehicle Driver,Vehicle Driver,,,,,,,,,,,,,Pick-up or Drop-off Someone,Pick-up or Drop-off Someone,Work Related,,,,,,,,,,,,,Place of education,Place of education,Place of work,,,,,,,,,,,,,510.0,525.0,535.0,,,,,,,,,,,,,520.0,530.0,550.0,,,,,,,,,,,,,2.53524,2.6519,3.56274,,,,,,,,,,,,,10.0,5.0,15.0,,,,,,,,,,,,,Vehicle Driver,30,8.74988,40.0,805.548445016,MELB - Middle,Greater Melbourne
