tripid,hhid_x,persid,tripno,starthour,startime,arrhour,arrtime,origplace1,origplace2,origpurp1,origpurp2,origlga,destplace1,destplace2,destpurp1,destpurp2,destlga,triptime,travtime,cumdist,linkmode,trippurp,duration,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,time1,time2,time3,time4,time5,time6,time7,time8,time9,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,trippoststratweight,trippoststratweight_GROUP_1,trippoststratweight_GROUP_2,trippoststratweight_GROUP_3,trippoststratweight_GROUP_4,trippoststratweight_GROUP_5,trippoststratweight_GROUP_6,trippoststratweight_GROUP_7,trippoststratweight_GROUP_8,trippoststratweight_GROUP_9,trippoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType,start_hour,arr_hour,is_morning_peak,is_evening_peak,is_peak_hour,time_of_day,distance_category,purpose_category,mode_category,duration_category,hhid_y,age_decade,sex,wfh_category,household_income,vehicle_availability,zone
Y24H5850310P02T06,Y24H5850310,Y24H5850310P02,6,16,1005,16,1017,Accommodation,Survey Home,At Home,Go home,Melbourne (C),Place of work,My Workplace,Work Related,Own Workplace,Melbourne (C),12,12.0,2.1987,Vehicle Driver,Work Related,303,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2.1987,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1099.881551964,1274.943505358,1218.302272784,1023.911744471,1000.823644885,868.107529258,1115.277950038,936.712387935,1255.933132834,0.0,1738.777328106,MELB - Inner,Greater Melbourne,Weekday,16.75,16.95,0,0,0,Evening Peak (15-19],Short (0-10],Mandatory,Private,Medium (10-20],Y24H5850310,50->59,Female,Never,168999.0,Moderate,Inner
Y24H5850311P02T02,Y24H5850311,Y24H5850311P02,2,8,517,8,539,Entertainment venue,Restaurant or Cafe,Social,Ate or drank,Melbourne (C),Place of work,My Workplace,Work Related,Own Workplace,Melbourne (C),22,22.0,1.71937,Walking,Work Related,213,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,22,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1.71937,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1443.319376994,1303.49102802,1482.440518483,1541.03316112,1491.354796884,1826.15281671,1416.949828319,1506.673557472,2214.106622951,0.0,2363.865232149,MELB - Inner,Greater Melbourne,Weekday,8.616666666666667,8.983333333333333,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Active,Long (20-40],Y24H5850311,20->29,Male,Occasional,220999.0,Limited,Inner
Y24H5850311P02T04,Y24H5850311,Y24H5850311P02,4,12,763,12,772,Entertainment venue,Restaurant or Cafe,Buy Something,Bought something,Melbourne (C),Place of work,My Workplace,Work Related,Own Workplace,Melbourne (C),9,9.0,0.59711,Walking,Work Related,247,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.59711,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1443.319376994,1303.49102802,1482.440518483,1541.03316112,1491.354796884,1826.15281671,1416.949828319,1506.673557472,2214.106622951,0.0,2363.865232149,MELB - Inner,Greater Melbourne,Weekday,12.716666666666667,12.866666666666667,0,0,0,Afternoon (12-15],Short (0-10],Mandatory,Active,Short (0-10],Y24H5850311,20->29,Male,Occasional,220999.0,Limited,Inner
Y24H5850317P01T01,Y24H5850317,Y24H5850317P01,1,9,585,10,602,Accommodation,Survey Home,At Home,Go home,Melbourne (C),Place of work,My Workplace,Work Related,Own Workplace,Melbourne (C),17,10.0,1.61883,Tram,Work Related,493,Walking,Tram,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,7,1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.10162,1.35211,0.1651,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3356.427753247,3007.939259042,3486.812780219,3318.063856467,3554.395888454,3949.869259896,3789.768617444,3232.072148959,4490.886967182,0.0,6028.180592859,MELB - Inner,Greater Melbourne,Weekday,9.75,10.033333333333333,0,0,0,Late Morning (9-12],Short (0-10],Mandatory,Public,Short (0-10],Y24H5850317,20->29,Female,Never,58499.0,Moderate,Inner
Y24H5850318P02T01,Y24H5850318,Y24H5850318P02,1,8,491,8,520,Accommodation,Survey Home,At Home,Go home,Melbourne (C),Place of work,My Workplace,Work Related,Own Workplace,Melbourne (C),29,29.0,2.48849,Walking,Work Related,260,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,29,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2.48849,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,801.207869846,887.499351582,775.047865758,811.090366802,851.742413097,1335.530710769,804.745094667,816.032327249,881.716007507,0.0,1584.868342474,MELB - Inner,Greater Melbourne,Weekday,8.183333333333334,8.666666666666666,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Active,Long (20-40],Y24H5850318,40->49,Male,Occasional,142999.0,Limited,Inner
Y24H5850318P02T03,Y24H5850318,Y24H5850318P02,3,13,785,13,788,Entertainment venue,Restaurant or Cafe,Buy Something,Bought something,Melbourne (C),Place of work,My Workplace,Work Related,Own Workplace,Melbourne (C),3,3.0,0.03793,Walking,Work Related,258,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.03793,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,801.207869846,887.499351582,775.047865758,811.090366802,851.742413097,1335.530710769,804.745094667,816.032327249,881.716007507,0.0,1584.868342474,MELB - Inner,Greater Melbourne,Weekday,13.083333333333334,13.133333333333333,0,0,0,Afternoon (12-15],Short (0-10],Mandatory,Active,Short (0-10],Y24H5850318,40->49,Male,Occasional,142999.0,Limited,Inner
Y24H5850319P01T03,Y24H5850319,Y24H5850319P01,3,8,502,8,522,Accommodation,Survey Home,At Home,Go home,Melbourne (C),Place of work,My Workplace,Work Related,Own Workplace,Melbourne (C),20,20.0,1.94452,Walking,Work Related,468,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,20,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1.94452,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1082.055101922,942.743997251,1110.171562592,1103.126743239,1100.737756923,1476.721942163,1199.864249035,1212.87166827,1352.882442338,0.0,1904.770887835,MELB - Inner,Greater Melbourne,Weekday,8.366666666666667,8.7,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Active,Medium (10-20],Y24H5850319,40->49,Male,Never,220999.0,Limited,Inner
Y24H5850340P02T01,Y24H5850340,Y24H5850340P02,1,6,390,6,395,Accommodation,Survey Home,At Home,Go home,Yarra (C),Place of work,My Workplace,Work Related,Own Workplace,Yarra (C),5,5.0,0.30828,Walking,Work Related,601,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.30828,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2665.826233612,3034.174190296,0.0,2793.881336667,2714.624336699,4908.924250026,2934.825502314,2681.883892851,2341.241996022,2867.328393402,2836.556242354,MELB - Inner,Greater Melbourne,Weekday,6.5,6.583333333333333,0,0,0,Morning Peak (6-9],Short (0-10],Mandatory,Active,Short (0-10],Y24H5850340,30->39,Female,Never,142999.0,Limited,Inner
Y24H5850508P01T01,Y24H5850508,Y24H5850508P01,1,6,360,7,420,Accommodation,Survey Home,At Home,Go home,Melton (S),Place of work,Another workplace or site,Work Related,Employers Business,Melbourne (C),60,60.0,36.04005,Vehicle Driver,Work Related,490,Vehicle Driver,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,53,7,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,35.71796,0.32209,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1215.238793991,1483.276435108,986.485789316,1317.862245128,1459.908254378,0.0,1220.010739108,2098.876965665,1306.090916185,1243.248394629,1175.830449342,MELB - Outer,Greater Melbourne,Weekday,6.0,7.0,0,0,0,Morning Peak (6-9],Long (20-40],Mandatory,Private,Very Long (40+),Y24H5850508,20->29,Male,Never,194999.0,Adequate,Outer
Y24H5850508P01T02,Y24H5850508,Y24H5850508P01,2,15,910,15,940,Place of work,Another workplace or site,Work Related,Employers Business,Melbourne (C),Place of work,My Workplace,Work Related,Own Workplace,Melbourne (C),30,30.0,4.6418,Vehicle Driver,Work Related,10,Walking,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7,23,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.32209,4.31971,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1215.238793991,1483.276435108,986.485789316,1317.862245128,1459.908254378,0.0,1220.010739108,2098.876965665,1306.090916185,1243.248394629,1175.830449342,MELB - Outer,Greater Melbourne,Weekday,15.166666666666666,15.666666666666666,0,0,0,Evening Peak (15-19],Short (0-10],Mandatory,Private,Long (20-40],Y24H5850508,20->29,Male,Never,194999.0,Adequate,Outer
Y24H5850508P01T03,Y24H5850508,Y24H5850508P01,3,15,950,16,980,Place of work,My Workplace,Work Related,Own Workplace,Melbourne (C),Place of work,Another workplace or site,Work Related,Employers Business,Wyndham (C),30,30.0,23.05445,Vehicle Driver,Work Related,10,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,30,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,23.05445,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1215.238793991,1483.276435108,986.485789316,1317.862245128,1459.908254378,0.0,1220.010739108,2098.876965665,1306.090916185,1243.248394629,1175.830449342,MELB - Outer,Greater Melbourne,Weekday,15.833333333333334,16.333333333333332,0,0,0,Evening Peak (15-19],Long (20-40],Mandatory,Private,Long (20-40],Y24H5850508,20->29,Male,Never,194999.0,Adequate,Outer
Y24H5850508P02T01,Y24H5850508,Y24H5850508P02,1,11,660,11,714,Accommodation,Survey Home,At Home,Go home,Melton (S),Place of work,My Workplace,Work Related,Own Workplace,Melbourne (C),54,52.0,37.62607,Train,Work Related,651,Vehicle Driver,Train,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,40,9,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1.44141,35.6992,0.48546,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1097.328530025,1312.740212359,1040.034318042,1139.827433209,1219.110221854,0.0,1061.302299111,1651.239163873,1209.9458769,1110.340859588,1148.703382772,MELB - Outer,Greater Melbourne,Weekday,11.0,11.9,0,0,0,Late Morning (9-12],Long (20-40],Mandatory,Public,Very Long (40+),Y24H5850508,20->29,Female,Never,194999.0,Adequate,Outer
Y24H5850515P02T01,Y24H5850515,Y24H5850515P02,1,7,465,8,506,Accommodation,Survey Home,At Home,Go home,Melton (S),Place of work,My Workplace,Work Related,Own Workplace,Maribyrnong (C),41,37.0,30.28487,Train,Work Related,534,Vehicle Passenger,Train,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,23,9,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1.45509,28.31043,0.51935,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,436.498109119,483.449236373,517.79048478,480.596381056,462.935663422,0.0,437.892579898,516.72531582,471.896065711,428.929795495,473.239299537,MELB - Outer,Greater Melbourne,Weekday,7.75,8.433333333333334,1,0,1,Morning Peak (6-9],Long (20-40],Mandatory,Public,Long (20-40],Y24H5850515,30->39,Female,Frequent,142999.0,Limited,Outer
