tripid,hhid_x,persid,tripno,starthour,startime,arrhour,arrtime,origplace1,origplace2,origpurp1,origpurp2,origlga,destplace1,destplace2,destpurp1,destpurp2,destlga,triptime,travtime,cumdist,linkmode,trippurp,duration,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,time1,time2,time3,time4,time5,time6,time7,time8,time9,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,trippoststratweight,trippoststratweight_GROUP_1,trippoststratweight_GROUP_2,trippoststratweight_GROUP_3,trippoststratweight_GROUP_4,trippoststratweight_GROUP_5,trippoststratweight_GROUP_6,trippoststratweight_GROUP_7,trippoststratweight_GROUP_8,trippoststratweight_GROUP_9,trippoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType,start_hour,arr_hour,is_morning_peak,is_evening_peak,is_peak_hour,time_of_day,distance_category,purpose_category,mode_category,duration_category,hhid_y,age_decade,sex,wfh_category,household_income,vehicle_availability,zone
Y24H5740102P02T01,Y24H5740102,Y24H5740102P02,1,7,455,8,480,Accommodation,Survey Home,At Home,Go home,Casey (C),Place of work,My Workplace,Work Related,Own Workplace,Greater Dandenong (C),25,25.0,12.89117,Vehicle Driver,Work Related,249,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,25,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.89117,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,652.818030841,640.158011458,713.51426712,910.939336777,634.256722418,845.843572353,0.0,654.419865511,680.66578309,582.226925115,1073.240943576,MELB - Outer,Greater Melbourne,Weekday,7.583333333333333,8.0,1,0,1,Morning Peak (6-9],Medium (10-20],Mandatory,Private,Long (20-40],Y24H5740102,20->29,Male,Never,71499.0,Moderate,Outer
Y24H5740102P02T03,Y24H5740102,Y24H5740102P02,3,12,755,12,758,Entertainment venue,Restaurant or Cafe,Social,Ate or drank,Greater Dandenong (C),Place of work,My Workplace,Work Related,Own Workplace,Greater Dandenong (C),3,3.0,0.47899,Vehicle Driver,Work Related,242,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.47899,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,652.818030841,640.158011458,713.51426712,910.939336777,634.256722418,845.843572353,0.0,654.419865511,680.66578309,582.226925115,1073.240943576,MELB - Outer,Greater Melbourne,Weekday,12.583333333333334,12.633333333333333,0,0,0,Afternoon (12-15],Short (0-10],Mandatory,Private,Short (0-10],Y24H5740102,20->29,Male,Never,71499.0,Moderate,Outer
Y24H5740109P02T01,Y24H5740109,Y24H5740109P02,1,7,450,7,454,Accommodation,Survey Home,At Home,Go home,Casey (C),Place of work,My Workplace,Work Related,Own Workplace,Casey (C),4,4.0,1.33689,Vehicle Driver,Work Related,543,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1.33689,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,760.235357962,674.810449369,1050.547465463,946.876592053,763.30741632,953.232092472,0.0,776.158947923,785.896037773,768.616963531,910.15866419,MELB - Outer,Greater Melbourne,Weekday,7.5,7.566666666666666,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Private,Short (0-10],Y24H5740109,40->49,Female,Never,116999.0,Limited,Outer
Y24H5740110P03T01,Y24H5740110,Y24H5740110P03,1,6,395,6,405,Accommodation,Survey Home,At Home,Go home,Casey (C),Place of work,My Workplace,Work Related,Own Workplace,Casey (C),10,10.0,9.42059,Vehicle Passenger,Work Related,504,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.42059,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,603.756453587,576.219382122,847.041936306,876.067408265,633.186924433,706.676290387,0.0,582.255015446,540.030269288,572.217503578,763.659271269,MELB - Outer,Greater Melbourne,Weekday,6.583333333333333,6.75,0,0,0,Morning Peak (6-9],Short (0-10],Mandatory,Private,Short (0-10],Y24H5740110,20->29,Female,Never,97499.0,Limited,Outer
Y24H5740111P01T01,Y24H5740111,Y24H5740111P01,1,9,560,9,590,Accommodation,Survey Home,At Home,Go home,Casey (C),Place of work,My Workplace,Work Related,Own Workplace,Frankston (C),30,30.0,20.87897,Vehicle Driver,Work Related,405,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,30,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,20.87897,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,348.746406172,333.818655666,434.855817029,442.345614928,305.615372247,394.661901608,0.0,354.864352589,295.391585048,354.382003487,607.118259937,MELB - Outer,Greater Melbourne,Weekday,9.333333333333334,9.833333333333334,0,0,0,Late Morning (9-12],Long (20-40],Mandatory,Private,Long (20-40],Y24H5740111,60->69,Female,Never,220999.0,Moderate,Outer
Y24H5740111P02T02,Y24H5740111,Y24H5740111P02,2,8,515,9,568,Retail venue,Petrol Station,Buy Something,Bought something,Melton (S),Place of work,My Workplace,Work Related,Own Workplace,Ballarat (C),53,53.0,101.58203,Vehicle Driver,Work Related,197,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,53,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,101.58203,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,696.78161167,655.224155053,951.967088237,1015.023199851,844.403718598,810.547360126,0.0,690.202351314,601.344213167,631.888873363,944.775847726,MELB - Outer,Greater Melbourne,Weekday,8.583333333333334,9.466666666666667,1,0,1,Late Morning (9-12],Very Long (40+),Mandatory,Private,Very Long (40+),Y24H5740111,20->29,Female,Frequent,220999.0,Moderate,Outer
Y24H5740111P02T03,Y24H5740111,Y24H5740111P02,3,12,765,12,774,Place of work,My Workplace,Work Related,Own Workplace,Ballarat (C),Place of work,Another workplace or site,Work Related,Employers Business,Ballarat (C),9,9.0,3.60515,Vehicle Driver,Work Related,49,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3.60515,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,696.78161167,655.224155053,951.967088237,1015.023199851,844.403718598,810.547360126,0.0,690.202351314,601.344213167,631.888873363,944.775847726,MELB - Outer,Greater Melbourne,Weekday,12.75,12.9,0,0,0,Afternoon (12-15],Short (0-10],Mandatory,Private,Short (0-10],Y24H5740111,20->29,Female,Frequent,220999.0,Moderate,Outer
Y24H5740111P02T04,Y24H5740111,Y24H5740111P02,4,13,823,13,830,Place of work,Another workplace or site,Work Related,Employers Business,Ballarat (C),Place of work,Another workplace or site,Work Related,Employers Business,Ballarat (C),7,7.0,2.0542,Vehicle Driver,Work Related,30,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2.0542,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,696.78161167,655.224155053,951.967088237,1015.023199851,844.403718598,810.547360126,0.0,690.202351314,601.344213167,631.888873363,944.775847726,MELB - Outer,Greater Melbourne,Weekday,13.716666666666667,13.833333333333334,0,0,0,Afternoon (12-15],Short (0-10],Mandatory,Private,Short (0-10],Y24H5740111,20->29,Female,Frequent,220999.0,Moderate,Outer
Y24H5740119P01T05,Y24H5740119,Y24H5740119P01,5,9,569,10,651,Accommodation,Survey Home,At Home,Go home,Casey (C),Place of work,My Workplace,Work Related,Own Workplace,Melbourne (C),82,73.0,51.61251,Train,Work Related,186,Vehicle Driver,Train,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6,53,14,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3.34288,47.26094,1.00869,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,346.716334742,335.93436581,354.717269276,433.108001479,298.887418396,451.289655851,0.0,348.260777454,332.878367112,332.811893427,668.046676407,MELB - Outer,Greater Melbourne,Weekday,9.483333333333333,10.85,0,0,0,Late Morning (9-12],Very Long (40+),Mandatory,Public,Very Long (40+),Y24H5740119,60->69,Male,Frequent,194999.0,Moderate,Outer
Y24H5740120P01T02,Y24H5740120,Y24H5740120P01,2,9,546,9,565,Retail venue,Supermarket,Buy Something,Bought something,Casey (C),Place of work,My Workplace,Work Related,Own Workplace,Casey (C),19,19.0,13.14107,Vehicle Driver,Work Related,406,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,19,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.14107,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,427.276622314,452.483849177,585.067891306,487.368649735,408.642407445,569.481486282,0.0,423.831100769,384.697803295,420.930896486,561.319770081,MELB - Outer,Greater Melbourne,Weekend,9.1,9.416666666666666,0,0,0,Late Morning (9-12],Medium (10-20],Mandatory,Private,Medium (10-20],Y24H5740120,60->69,Female,Never,142999.0,Moderate,Outer
Y24H5740123P01T02,Y24H5740123,Y24H5740123P01,2,8,502,8,510,Retail venue,Petrol Station,Buy Something,Bought something,Casey (C),Place of work,My Workplace,Work Related,Own Workplace,Greater Dandenong (C),8,8.0,4.96878,Vehicle Driver,Work Related,509,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4.96878,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,433.329068446,450.577184901,510.804117327,509.524123004,356.312179475,502.843041654,575.243696807,446.042182897,410.030814183,447.05143559,0.0,MELB - Outer,Greater Melbourne,Weekday,8.366666666666667,8.5,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Private,Short (0-10],Y24H5740123,60->69,Female,Never,97499.0,Moderate,Outer
Y24H5740129P03T01,Y24H5740129,Y24H5740129P03,1,8,491,8,532,Accommodation,Survey Home,At Home,Go home,Casey (C),Place of work,Another workplace or site,Work Related,Employers Business,Manningham (C),41,41.0,42.83731,Vehicle Driver,Work Related,36,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,41,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,42.83731,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,734.497298419,643.793165676,855.390302702,961.725944662,684.939652397,858.613662001,893.844688187,756.768312979,759.788231324,742.120904363,0.0,MELB - Outer,Greater Melbourne,Weekday,8.183333333333334,8.866666666666667,1,0,1,Morning Peak (6-9],Very Long (40+),Mandatory,Private,Very Long (40+),Y24H5740129,40->49,Male,Frequent,168999.0,Moderate,Outer
Y24H5740129P03T02,Y24H5740129,Y24H5740129P03,2,9,568,9,586,Place of work,Another workplace or site,Work Related,Employers Business,Manningham (C),Place of work,Another workplace or site,Work Related,Employers Business,Banyule (C),18,18.0,15.97077,Vehicle Driver,Work Related,33,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,18,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15.97077,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,734.497298419,643.793165676,855.390302702,961.725944662,684.939652397,858.613662001,893.844688187,756.768312979,759.788231324,742.120904363,0.0,MELB - Outer,Greater Melbourne,Weekday,9.466666666666667,9.766666666666667,0,0,0,Late Morning (9-12],Medium (10-20],Mandatory,Private,Medium (10-20],Y24H5740129,40->49,Male,Frequent,168999.0,Moderate,Outer
Y24H5740129P03T03,Y24H5740129,Y24H5740129P03,3,10,619,10,631,Place of work,Another workplace or site,Work Related,Employers Business,Banyule (C),Place of work,Another workplace or site,Work Related,Employers Business,Darebin (C),12,12.0,7.65133,Vehicle Driver,Work Related,11,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.65133,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,734.497298419,643.793165676,855.390302702,961.725944662,684.939652397,858.613662001,893.844688187,756.768312979,759.788231324,742.120904363,0.0,MELB - Outer,Greater Melbourne,Weekday,10.316666666666666,10.516666666666667,0,0,0,Late Morning (9-12],Short (0-10],Mandatory,Private,Medium (10-20],Y24H5740129,40->49,Male,Frequent,168999.0,Moderate,Outer
Y24H5740129P03T04,Y24H5740129,Y24H5740129P03,4,10,642,10,656,Place of work,Another workplace or site,Work Related,Employers Business,Darebin (C),Place of work,Another workplace or site,Work Related,Employers Business,Boroondara (C),14,14.0,7.81032,Vehicle Driver,Work Related,15,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.81032,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,734.497298419,643.793165676,855.390302702,961.725944662,684.939652397,858.613662001,893.844688187,756.768312979,759.788231324,742.120904363,0.0,MELB - Outer,Greater Melbourne,Weekday,10.7,10.933333333333334,0,0,0,Late Morning (9-12],Short (0-10],Mandatory,Private,Medium (10-20],Y24H5740129,40->49,Male,Frequent,168999.0,Moderate,Outer
Y24H5740129P03T05,Y24H5740129,Y24H5740129P03,5,11,671,11,684,Place of work,Another workplace or site,Work Related,Employers Business,Boroondara (C),Place of work,Another workplace or site,Work Related,Employers Business,Boroondara (C),13,13.0,7.12071,Vehicle Driver,Work Related,18,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.12071,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,734.497298419,643.793165676,855.390302702,961.725944662,684.939652397,858.613662001,893.844688187,756.768312979,759.788231324,742.120904363,0.0,MELB - Outer,Greater Melbourne,Weekday,11.183333333333334,11.4,0,0,0,Late Morning (9-12],Short (0-10],Mandatory,Private,Medium (10-20],Y24H5740129,40->49,Male,Frequent,168999.0,Moderate,Outer
Y24H5740129P03T06,Y24H5740129,Y24H5740129P03,6,11,702,11,703,Place of work,Another workplace or site,Work Related,Employers Business,Boroondara (C),Place of work,Another workplace or site,Work Related,Employers Business,Boroondara (C),1,1.0,1.30458,Vehicle Driver,Work Related,10,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1.30458,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,734.497298419,643.793165676,855.390302702,961.725944662,684.939652397,858.613662001,893.844688187,756.768312979,759.788231324,742.120904363,0.0,MELB - Outer,Greater Melbourne,Weekday,11.7,11.716666666666667,0,0,0,Late Morning (9-12],Short (0-10],Mandatory,Private,Short (0-10],Y24H5740129,40->49,Male,Frequent,168999.0,Moderate,Outer
Y24H5740129P03T07,Y24H5740129,Y24H5740129P03,7,11,713,12,734,Place of work,Another workplace or site,Work Related,Employers Business,Boroondara (C),Place of work,Another workplace or site,Work Related,Employers Business,Monash (C),21,21.0,11.22358,Vehicle Driver,Work Related,25,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,21,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.22358,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,734.497298419,643.793165676,855.390302702,961.725944662,684.939652397,858.613662001,893.844688187,756.768312979,759.788231324,742.120904363,0.0,MELB - Outer,Greater Melbourne,Weekday,11.883333333333333,12.233333333333333,0,0,0,Afternoon (12-15],Medium (10-20],Mandatory,Private,Long (20-40],Y24H5740129,40->49,Male,Frequent,168999.0,Moderate,Outer
Y24H5740129P03T08,Y24H5740129,Y24H5740129P03,8,12,759,12,772,Place of work,Another workplace or site,Work Related,Employers Business,Monash (C),Place of work,Another workplace or site,Work Related,Employers Business,Knox (C),13,13.0,10.78356,Vehicle Driver,Work Related,13,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.78356,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,734.497298419,643.793165676,855.390302702,961.725944662,684.939652397,858.613662001,893.844688187,756.768312979,759.788231324,742.120904363,0.0,MELB - Outer,Greater Melbourne,Weekday,12.65,12.866666666666667,0,0,0,Afternoon (12-15],Medium (10-20],Mandatory,Private,Medium (10-20],Y24H5740129,40->49,Male,Frequent,168999.0,Moderate,Outer
Y24H5740129P03T10,Y24H5740129,Y24H5740129P03,10,18,1100,18,1111,Accommodation,Survey Home,At Home,Go home,Casey (C),Place of work,My Workplace,Work Related,Own Workplace,Casey (C),11,11.0,8.61913,Vehicle Driver,Work Related,53,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.61913,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,734.497298419,643.793165676,855.390302702,961.725944662,684.939652397,858.613662001,893.844688187,756.768312979,759.788231324,742.120904363,0.0,MELB - Outer,Greater Melbourne,Weekday,18.333333333333332,18.516666666666666,0,1,0,Evening Peak (15-19],Short (0-10],Mandatory,Private,Medium (10-20],Y24H5740129,40->49,Male,Frequent,168999.0,Moderate,Outer
Y24H5740131P01T01,Y24H5740131,Y24H5740131P01,1,18,1095,19,1185,Other place,Other NEC,Unknown Purpose (at start of day),N/A - Unknown purpose at the start of the day,Hume (C),Place of work,Another workplace or site,Work Related,Employers Business,Casey (C),90,90.0,80.73453,Vehicle Driver,Work Related,125,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,90,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,80.73453,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,833.181207918,765.154596869,885.448010442,1069.693134255,849.684286031,1028.621249522,999.359112899,821.973012858,1025.301468273,812.292730784,0.0,MELB - Outer,Greater Melbourne,Weekday,18.25,19.75,0,1,0,Evening (19-22],Very Long (40+),Mandatory,Private,Very Long (40+),Y24H5740131,50->59,Male,Never,220999.0,Limited,Outer
Y24H5740131P02T02,Y24H5740131,Y24H5740131P02,2,7,420,8,480,Place of education,Secondary School,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Casey (C),Place of work,My Workplace,Work Related,Own Workplace,Greater Dandenong (C),60,60.0,20.43636,Vehicle Driver,Work Related,525,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,60,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,20.43636,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,946.335436235,848.989625914,1241.496768704,1240.99176422,960.74340877,1103.299950145,1094.808993862,932.442029735,967.655684544,1034.517430239,0.0,MELB - Outer,Greater Melbourne,Weekday,7.0,8.0,1,0,1,Morning Peak (6-9],Long (20-40],Mandatory,Private,Very Long (40+),Y24H5740131,40->49,Female,Never,220999.0,Limited,Outer
Y24H5740331P01T01,Y24H5740331,Y24H5740331P01,1,8,525,8,535,Accommodation,Survey Home,At Home,Go home,Stonnington (C),Place of work,My Workplace,Work Related,Own Workplace,Stonnington (C),10,10.0,1.03956,Vehicle Driver,Work Related,605,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1.03956,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,804.67558497,966.76132121,0.0,1079.973335261,776.432194893,847.616892587,854.426038692,1015.645252903,718.17858299,778.585876921,844.647772483,MELB - Inner,Greater Melbourne,Weekday,8.75,8.916666666666666,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Private,Short (0-10],Y24H5740331,60->69,Male,Occasional,142999.0,Moderate,Inner
Y24H5740340P01T01,Y24H5740340,Y24H5740340P01,1,9,570,10,605,Accommodation,Survey Home,At Home,Go home,Stonnington (C),Place of work,My Workplace,Work Related,Own Workplace,Melbourne (C),35,35.0,11.99826,Vehicle Driver,Work Related,265,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,35,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.99826,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,641.679404901,767.555109903,0.0,762.892588865,630.403791589,777.101210661,627.467033824,750.557427333,715.035352233,644.048033487,603.310653722,MELB - Inner,Greater Melbourne,Weekday,9.5,10.083333333333334,0,0,0,Late Morning (9-12],Medium (10-20],Mandatory,Private,Long (20-40],Y24H5740340,50->59,Female,Occasional,46799.0,Limited,Inner
Y24H5740505P01T01,Y24H5740505,Y24H5740505P01,1,6,396,7,425,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Place of work,Another workplace or site,Work Related,Employers Business,Melton (S),29,29.0,17.22882,Vehicle Driver,Work Related,380,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,29,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,17.22882,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,445.074066775,568.789039563,541.625229289,0.0,512.500360355,503.61417721,542.015550675,430.997029548,432.814910335,453.500615618,487.896364538,MELB - Outer,Greater Melbourne,Weekday,6.6,7.083333333333333,0,0,0,Morning Peak (6-9],Medium (10-20],Mandatory,Private,Long (20-40],Y24H5740505,30->39,Male,Never,3900.0,Limited,Outer
Y24H5740505P01T03,Y24H5740505,Y24H5740505P01,3,17,1040,17,1077,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Place of work,Another workplace or site,Work Related,Employers Business,Hobsons Bay (C),37,37.0,28.58858,Vehicle Driver,Work Related,7,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,37,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,28.58858,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,445.074066775,568.789039563,541.625229289,0.0,512.500360355,503.61417721,542.015550675,430.997029548,432.814910335,453.500615618,487.896364538,MELB - Outer,Greater Melbourne,Weekday,17.333333333333332,17.95,0,1,0,Evening Peak (15-19],Long (20-40],Mandatory,Private,Long (20-40],Y24H5740505,30->39,Male,Never,3900.0,Limited,Outer
Y24H5740505P01T04,Y24H5740505,Y24H5740505P01,4,18,1084,20,1220,Place of work,Another workplace or site,Work Related,Employers Business,Hobsons Bay (C),Place of work,Another workplace or site,Work Related,Employers Business,Hobsons Bay (C),136,136.0,0.44328,Vehicle Driver,Work Related,2,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,136,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.44328,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,445.074066775,568.789039563,541.625229289,0.0,512.500360355,503.61417721,542.015550675,430.997029548,432.814910335,453.500615618,487.896364538,MELB - Outer,Greater Melbourne,Weekday,18.066666666666666,20.333333333333332,0,1,0,Evening (19-22],Short (0-10],Mandatory,Private,Very Long (40+),Y24H5740505,30->39,Male,Never,3900.0,Limited,Outer
Y24H5740510P02T01,Y24H5740510,Y24H5740510P02,1,6,412,8,487,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Place of work,My Workplace,Work Related,Own Workplace,Glen Eira (C),75,53.0,44.30265,Train,Work Related,509,Vehicle Passenger,Train,Walking,Public Bus,Walking,Not applicable,Not applicable,Not applicable,Not applicable,13,27,3,8,2,Not applicable,Not applicable,Not applicable,Not applicable,6.62414,33.71046,0.18074,3.6364,0.15091,Not applicable,Not applicable,Not applicable,Not applicable,306.537486477,366.583693924,401.87518377,0.0,340.738669691,340.038839377,357.283852794,289.616145897,303.85848476,305.579988192,383.714708754,MELB - Outer,Greater Melbourne,Weekday,6.866666666666666,8.116666666666667,0,0,0,Morning Peak (6-9],Very Long (40+),Mandatory,Public,Very Long (40+),Y24H5740510,30->39,Female,Frequent,246999.0,Limited,Outer
Y24H5740517P01T02,Y24H5740517,Y24H5740517P01,2,7,459,7,476,Retail venue,Garden Centre,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Wyndham (C),Place of work,My Workplace,Work Related,Own Workplace,Melton (S),17,17.0,11.97325,Vehicle Driver,Work Related,271,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,17,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.97325,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,926.162994443,1244.601963203,959.799361287,0.0,1012.86645527,944.495265625,1243.748628486,993.281223009,933.941125707,993.651367318,1002.862350828,MELB - Outer,Greater Melbourne,Weekday,7.65,7.933333333333334,1,0,1,Morning Peak (6-9],Medium (10-20],Mandatory,Private,Medium (10-20],Y24H5740517,30->39,Male,Never,116999.0,Adequate,Outer
