tripid,hhid_x,persid,tripno,starthour,startime,arrhour,arrtime,origplace1,origplace2,origpurp1,origpurp2,origlga,destplace1,destplace2,destpurp1,destpurp2,destlga,triptime,travtime,cumdist,linkmode,trippurp,duration,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,time1,time2,time3,time4,time5,time6,time7,time8,time9,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,trippoststratweight,trippoststratweight_GROUP_1,trippoststratweight_GROUP_2,trippoststratweight_GROUP_3,trippoststratweight_GROUP_4,trippoststratweight_GROUP_5,trippoststratweight_GROUP_6,trippoststratweight_GROUP_7,trippoststratweight_GROUP_8,trippoststratweight_GROUP_9,trippoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType,start_hour,arr_hour,is_morning_peak,is_evening_peak,is_peak_hour,time_of_day,distance_category,purpose_category,mode_category,duration_category,hhid_y,age_decade,sex,life_stage,household_income,vehicle_availability,zone
Y24H5740109P03T01,Y24H5740109,Y24H5740109P03,1,8,490,8,513,Accommodation,Survey Home,At Home,Go home,Casey (C),Place of education,Secondary School,Education,At school,Casey (C),23,21.0,4.78611,School Bus,Education,407,Walking,School Bus,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,18,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.21381,4.5723,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,948.719791893,893.143820502,1100.585791815,1030.327605474,966.266946533,1208.473256634,0.0,974.842851834,1117.761835109,857.867891118,1359.779253554,MELB - Outer,Greater Melbourne,Weekday,8.166666666666666,8.55,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Public,Long (20-40],Y24H5740109,10->19,Male,Student,116999.0,Limited,Outer
Y24H5740109P04T01,Y24H5740109,Y24H5740109P04,1,8,490,8,513,Accommodation,Survey Home,At Home,Go home,Casey (C),Place of education,Secondary School,Education,At school,Casey (C),23,21.0,4.78611,School Bus,Education,407,Walking,School Bus,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,18,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.21381,4.5723,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1976.756688822,1875.167021028,2140.66828216,2437.40033023,2251.539920494,2306.77122019,0.0,2081.823779497,1918.871675981,2080.848293473,2466.873078094,MELB - Outer,Greater Melbourne,Weekday,8.166666666666666,8.55,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Public,Long (20-40],Y24H5740109,10->19,Male,Student,116999.0,Limited,Outer
Y24H5740109P05T01,Y24H5740109,Y24H5740109P05,1,8,490,8,510,Accommodation,Survey Home,At Home,Go home,Casey (C),Place of education,Primary School,Education,At school,Casey (C),20,20.0,0.93423,Walking,Education,420,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,20,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.93423,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,814.365992555,726.177401549,1039.385699658,942.900265338,1100.164244777,945.086867296,0.0,836.540612262,784.443784367,750.641867957,945.462075167,MELB - Outer,Greater Melbourne,Weekday,8.166666666666666,8.5,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Active,Medium (10-20],Y24H5740109,10->19,Female,Student,116999.0,Limited,Outer
Y24H5740131P03T01,Y24H5740131,Y24H5740131P03,1,7,440,8,490,Accommodation,Survey Home,At Home,Go home,Casey (C),Place of education,Secondary School,Education,At school,Monash (C),50,47.0,24.92903,School Bus,Education,455,Walking,School Bus,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7,40,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.45145,24.47758,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,746.800491716,692.810846779,809.400308169,787.963400382,705.391696403,912.535557186,858.966058824,754.107059959,907.083245194,775.63625365,0.0,MELB - Outer,Greater Melbourne,Weekday,7.333333333333333,8.166666666666666,1,0,1,Morning Peak (6-9],Long (20-40],Mandatory,Public,Very Long (40+),Y24H5740131,10->19,Male,Student,220999.0,Limited,Outer
Y24H5740131P04T01,Y24H5740131,Y24H5740131P04,1,6,410,7,420,Accommodation,Survey Home,At Home,Go home,Casey (C),Place of education,Secondary School,Education,At school,Casey (C),10,10.0,1.48545,Vehicle Passenger,Education,480,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1.48545,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1315.567514218,1261.064228965,1557.573939166,1501.833088632,1420.150161685,1512.905945031,1605.619234091,1307.839597215,1492.926597431,1330.744335981,0.0,MELB - Outer,Greater Melbourne,Weekday,6.833333333333333,7.0,0,0,0,Morning Peak (6-9],Short (0-10],Mandatory,Private,Short (0-10],Y24H5740131,10->19,Female,Student,220999.0,Limited,Outer
Y24H5740337P01T01,Y24H5740337,Y24H5740337P01,1,9,540,9,570,Accommodation,Survey Home,At Home,Go home,Stonnington (C),Place of education,Tertiary,Education,At Uni/Tech,Maribyrnong (C),30,30.0,13.90308,Vehicle Driver,Education,210,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,30,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.90308,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1251.425191934,1628.885907734,0.0,1613.423751084,1157.997952497,1441.63043791,1205.662905498,1277.032697783,1637.439521967,1148.032481525,1090.307938434,MELB - Inner,Greater Melbourne,Weekday,9.0,9.5,1,0,1,Late Morning (9-12],Medium (10-20],Mandatory,Private,Long (20-40],Y24H5740337,20->29,Female,Student,37699.0,Limited,Inner
Y24H5740337P02T01,Y24H5740337,Y24H5740337P02,1,8,480,8,530,Accommodation,Survey Home,At Home,Go home,Stonnington (C),Place of education,Secondary School,Education,At school,Glen Eira (C),50,48.0,13.62768,Train,Education,385,Walking,Train,Walking,Public Bus,Walking,Not applicable,Not applicable,Not applicable,Not applicable,15,13,2,9,9,Not applicable,Not applicable,Not applicable,Not applicable,1.1714,7.41928,0.06167,3.43623,1.5391,Not applicable,Not applicable,Not applicable,Not applicable,646.550865959,684.632257971,0.0,731.05202017,658.075260609,686.459152468,630.823498458,780.063707692,738.697736088,687.139460015,647.737910447,MELB - Inner,Greater Melbourne,Weekday,8.0,8.833333333333334,1,0,1,Morning Peak (6-9],Medium (10-20],Mandatory,Public,Very Long (40+),Y24H5740337,10->19,Female,Student,37699.0,Limited,Inner
Y24H5740340P02T01,Y24H5740340,Y24H5740340P02,1,8,495,8,520,Accommodation,Survey Home,At Home,Go home,Stonnington (C),Place of education,Secondary School,Education,At school,Stonnington (C),25,25.0,2.45053,Walking,Education,385,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,25,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2.45053,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,678.48551527,668.636683557,0.0,882.236410117,717.722380308,833.900903766,673.984693246,815.216694679,793.658648153,705.739435563,620.589982024,MELB - Inner,Greater Melbourne,Weekday,8.25,8.666666666666666,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Active,Long (20-40],Y24H5740340,10->19,Male,Student,46799.0,Limited,Inner
Y24H5740501P03T01,Y24H5740501,Y24H5740501P03,1,8,505,8,510,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Place of education,Primary School,Education,At school,Wyndham (C),5,5.0,0.38306,Walking,Education,420,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.38306,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,358.71152487,399.067066599,510.772773076,0.0,393.887819198,399.681662776,495.616501404,340.531684842,367.407641098,335.678433562,413.46392479,MELB - Outer,Greater Melbourne,Weekday,8.416666666666666,8.5,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Active,Short (0-10],Y24H5740501,0->9,Female,Student,116999.0,Limited,Outer
Y24H5740501P04T01,Y24H5740501,Y24H5740501P04,1,8,505,8,510,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Place of education,Primary School,Education,At school,Wyndham (C),5,5.0,0.38306,Walking,Education,420,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.38306,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,356.730442367,396.537531649,507.856770695,0.0,391.601313171,397.619472042,492.602582169,338.720768493,365.478741316,333.901901876,411.418735718,MELB - Outer,Greater Melbourne,Weekday,8.416666666666666,8.5,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Active,Short (0-10],Y24H5740501,0->9,Female,Student,116999.0,Limited,Outer
Y24H5740505P03T01,Y24H5740505,Y24H5740505P03,1,7,470,8,490,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Place of education,Kinder or Preschool,Education,At school,Wyndham (C),20,20.0,3.20171,Public Bus,Education,290,Walking,Public Bus,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,10,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.28451,2.6056,0.3116,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1104.956604473,1440.371692889,1489.556487387,0.0,1249.839274799,1299.169593027,1028.516399077,1248.102738992,1016.93195603,1077.752017552,1343.690077345,MELB - Outer,Greater Melbourne,Weekday,7.833333333333333,8.166666666666666,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Public,Medium (10-20],Y24H5740505,0->9,Female,Other,3900.0,Limited,Outer
Y24H5740519P03T01,Y24H5740519,Y24H5740519P03,1,8,500,8,510,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Place of education,Secondary School,Education,At school,Wyndham (C),10,10.0,0.7363,Walking,Education,405,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.7363,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,861.04444954,1037.933271785,1075.085117985,0.0,918.784035663,885.194801683,940.938166835,1237.785504803,838.547950631,883.546775313,1001.209345332,MELB - Outer,Greater Melbourne,Weekday,8.333333333333334,8.5,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Active,Short (0-10],Y24H5740519,10->19,Male,Student,37699.0,Moderate,Outer
Y24H5740522P03T01,Y24H5740522,Y24H5740522P03,1,8,480,8,494,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Place of education,Secondary School,Education,At school,Wyndham (C),14,14.0,8.78115,Vehicle Passenger,Education,406,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.78115,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,649.896885287,772.780140107,0.0,684.876784052,708.415927777,702.301039221,737.868850798,1073.88699151,646.41200893,622.014400149,724.261128278,MELB - Outer,Greater Melbourne,Weekday,8.0,8.233333333333333,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Private,Medium (10-20],Y24H5740522,10->19,Male,Student,220999.0,Limited,Outer
Y24H5740525P03T01,Y24H5740525,Y24H5740525P03,1,8,510,8,515,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Place of education,Primary School,Education,At school,Wyndham (C),5,5.0,0.14027,Walking,Education,375,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.14027,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,539.52073249,666.246247172,0.0,539.18323362,618.164316872,490.896919081,793.04393481,549.652098591,519.139573283,497.373115107,645.831562118,MELB - Outer,Greater Melbourne,Weekday,8.5,8.583333333333334,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Active,Short (0-10],Y24H5740525,0->9,Female,Student,58499.0,Limited,Outer
Y24H5740525P04T01,Y24H5740525,Y24H5740525P04,1,8,510,8,515,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Place of education,Primary School,Education,At school,Wyndham (C),5,5.0,0.14027,Walking,Education,375,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.14027,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,539.52073249,666.246247172,0.0,539.18323362,618.164316872,490.896919081,793.04393481,549.652098591,519.139573283,497.373115107,645.831562118,MELB - Outer,Greater Melbourne,Weekday,8.5,8.583333333333334,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Active,Short (0-10],Y24H5740525,0->9,Female,Student,58499.0,Limited,Outer
Y24H5740529P03T01,Y24H5740529,Y24H5740529P03,1,8,510,8,515,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Place of education,Primary School,Education,At school,Wyndham (C),5,5.0,0.53081,Vehicle Passenger,Education,275,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.53081,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,381.575096959,424.329858472,0.0,408.193198577,418.932863096,425.234019543,527.059140562,362.273943817,390.878642969,357.115467723,439.944247289,MELB - Outer,Greater Melbourne,Weekday,8.5,8.583333333333334,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Private,Short (0-10],Y24H5740529,0->9,Female,Student,142999.0,Limited,Outer
Y24H5740530P03T01,Y24H5740530,Y24H5740530P03,1,8,510,8,520,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Place of education,Primary School,Education,At school,Wyndham (C),10,10.0,5.90582,Vehicle Passenger,Education,395,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5.90582,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,253.160823667,348.333234351,0.0,286.207769093,275.00943104,297.131923291,274.990602324,266.83139824,254.783680504,256.385916582,292.677614858,MELB - Outer,Greater Melbourne,Weekday,8.5,8.666666666666666,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Private,Short (0-10],Y24H5740530,10->19,Male,Student,285999.0,Limited,Outer
Y24H5740533P03T01,Y24H5740533,Y24H5740533P03,1,8,480,8,490,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Place of education,Kinder or Preschool,Education,At school,Wyndham (C),10,10.0,6.84792,Vehicle Passenger,Education,540,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.84792,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,960.586232123,1222.843599686,0.0,1026.219108757,1055.15518022,1097.378340855,1005.598395558,1120.35108806,921.918670464,887.311387141,1064.397665026,MELB - Outer,Greater Melbourne,Weekday,8.0,8.166666666666666,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Private,Short (0-10],Y24H5740533,0->9,Male,Other,23399.0,Limited,Outer
Y24H5750204P02T01,Y24H5750204,Y24H5750204P02,1,7,465,8,490,Accommodation,Survey Home,At Home,Go home,Whitehorse (C),Place of education,Secondary School,Education,At school,Boroondara (C),25,25.0,9.37015,Vehicle Passenger,Education,440,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,25,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.37015,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,482.723910037,499.735731992,565.096878563,470.360033465,480.491170277,514.114843162,739.961287673,0.0,562.855425119,401.127729822,478.689742741,MELB - Middle,Greater Melbourne,Weekday,7.75,8.166666666666666,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Private,Long (20-40],Y24H5750204,10->19,Female,Student,23399.0,Limited,Middle
Y24H5750216P03T01,Y24H5750216,Y24H5750216P03,1,8,500,8,512,Accommodation,Survey Home,At Home,Go home,Whitehorse (C),Place of education,Secondary School,Education,At school,Whitehorse (C),12,12.0,5.68043,Vehicle Passenger,Education,418,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5.68043,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,516.056246283,573.356848423,600.556131589,513.043446173,498.726398911,544.511784019,580.490594895,0.0,625.083119008,487.561205569,513.057684597,MELB - Middle,Greater Melbourne,Weekday,8.333333333333334,8.533333333333333,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Private,Medium (10-20],Y24H5750216,10->19,Female,Student,194999.0,Limited,Middle
Y24H5750233P03T01,Y24H5750233,Y24H5750233P03,1,9,565,10,630,Accommodation,Survey Home,At Home,Go home,Whitehorse (C),Place of education,Tertiary,Education,At Uni/Tech,Boroondara (C),65,49.0,13.81864,Train,Education,270,Walking,Public Bus,Walking,Train,Walking,Not applicable,Not applicable,Not applicable,Not applicable,1,20,3,20,5,Not applicable,Not applicable,Not applicable,Not applicable,0.01823,4.42335,0.1541,8.96323,0.25973,Not applicable,Not applicable,Not applicable,Not applicable,795.260765041,769.415007256,896.622179806,817.507912071,784.229414687,837.756206991,0.0,823.097283389,1066.290503829,842.625254084,774.132259655,MELB - Middle,Greater Melbourne,Weekday,9.416666666666666,10.5,0,0,0,Late Morning (9-12],Medium (10-20],Mandatory,Public,Very Long (40+),Y24H5750233,20->29,Male,Student,18199.0,Limited,Middle
Y24H5750324P03T01,Y24H5750324,Y24H5750324P03,1,8,506,8,517,Accommodation,Survey Home,At Home,Go home,Maribyrnong (C),Place of education,Primary School,Education,At school,Maribyrnong (C),11,11.0,1.05425,Walking,Education,401,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1.05425,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,660.967526304,634.678213276,908.155667991,852.627069596,737.679656819,704.771889132,1088.068882917,0.0,750.600528017,608.243306059,631.12430245,MELB - Middle,Greater Melbourne,Weekday,8.433333333333334,8.616666666666667,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Active,Medium (10-20],Y24H5750324,0->9,Female,Student,84499.0,Limited,Middle
Y24H5750333P03T01,Y24H5750333,Y24H5750333P03,1,8,523,9,566,Accommodation,Survey Home,At Home,Go home,Maribyrnong (C),Place of education,Tertiary,Education,At Uni/Tech,Melbourne (C),43,36.0,10.56461,Train,Education,424,Walking,Public Bus,Walking,Train,Walking,Not applicable,Not applicable,Not applicable,Not applicable,3,14,1,15,3,Not applicable,Not applicable,Not applicable,Not applicable,0.29943,3.38465,0.08589,6.51735,0.27729,Not applicable,Not applicable,Not applicable,Not applicable,1198.378620849,1119.367066067,1188.796344666,1415.900100097,1503.02664633,1221.726511817,1664.243302447,0.0,1297.323114039,1127.851840942,1303.505021084,MELB - Middle,Greater Melbourne,Weekday,8.716666666666667,9.433333333333334,1,0,1,Late Morning (9-12],Medium (10-20],Mandatory,Public,Long (20-40],Y24H5750333,20->29,Male,Student,450000.0,Moderate,Middle
Y24H5750333P04T01,Y24H5750333,Y24H5750333P04,1,7,465,8,528,Accommodation,Survey Home,At Home,Go home,Maribyrnong (C),Place of education,Tertiary,Education,At Uni/Tech,Melbourne (C),63,60.0,8.37898,Tram,Education,402,Walking,Tram,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,45,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.42038,7.14321,0.81539,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1684.705360423,1880.270087182,1729.218882408,2006.853827113,2044.927954208,2252.337697487,2234.134289314,0.0,1753.945867329,1611.281524418,1636.511717729,MELB - Middle,Greater Melbourne,Weekday,7.75,8.8,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Public,Very Long (40+),Y24H5750333,10->19,Male,Student,450000.0,Moderate,Middle
Y24H5750401P04T01,Y24H5750401,Y24H5750401P04,1,10,630,11,660,Accommodation,Survey Home,At Home,Go home,Whittlesea (C),Place of education,Tertiary,Education,At Uni/Tech,Darebin (C),30,30.0,28.60725,Vehicle Passenger,Education,360,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,30,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,28.60725,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,383.895906283,445.554815044,494.588019134,365.797873749,0.0,393.703304002,380.274944254,630.680299906,454.254031216,408.297642824,357.459735771,MELB - Outer,Greater Melbourne,Weekday,10.5,11.0,0,0,0,Late Morning (9-12],Long (20-40],Mandatory,Private,Long (20-40],Y24H5750401,20->29,Female,Student,220999.0,Limited,Outer
Y24H5750403P04T01,Y24H5750403,Y24H5750403P04,1,7,440,9,540,Accommodation,Survey Home,At Home,Go home,Whittlesea (C),Place of education,Secondary School,Education,At school,Hume (C),100,79.0,10.56782,Public Bus,Education,380,Walking,Public Bus,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4,45,30,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.14294,8.8107,1.61418,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,341.795395816,368.050056214,509.081363832,332.428875611,0.0,379.22767211,368.178652853,357.121896285,364.667314201,425.811968992,357.624133608,MELB - Outer,Greater Melbourne,Weekday,7.333333333333333,9.0,1,0,1,Morning Peak (6-9],Medium (10-20],Mandatory,Public,Very Long (40+),Y24H5750403,10->19,Female,Student,84499.0,Limited,Outer
Y24H5750403P05T01,Y24H5750403,Y24H5750403P05,1,8,495,8,515,Accommodation,Survey Home,At Home,Go home,Whittlesea (C),Place of education,Primary School,Education,At school,Hume (C),20,13.0,2.06148,Public Bus,Education,435,Walking,Public Bus,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,3,7,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.14294,1.50497,0.41357,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,348.439694801,400.221187957,475.005199467,353.357150382,0.0,392.16140359,370.59644604,400.428799384,387.02785047,394.451490843,353.740222496,MELB - Outer,Greater Melbourne,Weekday,8.25,8.583333333333334,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Public,Medium (10-20],Y24H5750403,10->19,Male,Student,84499.0,Limited,Outer
Y24H5750415P03T01,Y24H5750415,Y24H5750415P03,1,8,501,8,508,Accommodation,Survey Home,At Home,Go home,Whittlesea (C),Place of education,Primary School,Education,At school,Whittlesea (C),7,7.0,3.47778,Vehicle Passenger,Education,412,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3.47778,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,553.101523702,568.590346452,967.720481892,537.187220019,0.0,623.596457945,588.776869613,573.478222366,614.227254342,635.12466266,647.596142856,MELB - Outer,Greater Melbourne,Weekday,8.35,8.466666666666667,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Private,Short (0-10],Y24H5750415,0->9,Male,Student,142999.0,Moderate,Outer
Y24H5750418P05T01,Y24H5750418,Y24H5750418P05,1,8,495,8,510,Accommodation,Survey Home,At Home,Go home,Whittlesea (C),Place of education,Secondary School,Education,At school,Whittlesea (C),15,15.0,2.13441,Vehicle Passenger,Education,424,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2.13441,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,876.331004327,925.829055199,973.356522823,857.450722033,0.0,948.106800809,914.202223603,1151.594282748,796.102121612,1274.049545875,1154.25104797,MELB - Outer,Greater Melbourne,Weekday,8.25,8.5,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Private,Medium (10-20],Y24H5750418,10->19,Male,Student,168999.0,Moderate,Outer
Y24H5750420P01T02,Y24H5750420,Y24H5750420P01,2,13,810,13,839,Place of work,My Workplace,Work Related,Own Workplace,Melbourne (C),Place of education,Tertiary,Education,At Uni/Tech,Melbourne (C),29,26.0,5.18938,Vehicle Driver,Education,222,Vehicle Driver,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,18,8,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4.30299,0.88639,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,268.44579161,303.194829402,425.071881954,286.40607882,0.0,283.840007764,263.739707704,300.706561088,328.106115211,269.084426352,290.40639984,MELB - Outer,Greater Melbourne,Weekend,13.5,13.983333333333333,0,0,0,Afternoon (12-15],Short (0-10],Mandatory,Private,Long (20-40],Y24H5750420,40->49,Male,Student,142999.0,Abundant,Outer
