tripid,hhid_x,persid,tripno,starthour,startime,arrhour,arrtime,origplace1,origplace2,origpurp1,origpurp2,origlga,destplace1,destplace2,destpurp1,destpurp2,destlga,triptime,travtime,cumdist,linkmode,trippurp,duration,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,time1,time2,time3,time4,time5,time6,time7,time8,time9,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,trippoststratweight,trippoststratweight_GROUP_1,trippoststratweight_GROUP_2,trippoststratweight_GROUP_3,trippoststratweight_GROUP_4,trippoststratweight_GROUP_5,trippoststratweight_GROUP_6,trippoststratweight_GROUP_7,trippoststratweight_GROUP_8,trippoststratweight_GROUP_9,trippoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType,start_hour,arr_hour,is_morning_peak,is_evening_peak,is_peak_hour,time_of_day,distance_category,purpose_category,mode_category,duration_category,hhid_y,age_decade,sex,life_stage,household_income,vehicle_availability,zone
Y24H5950415P04T01,Y24H5950415,Y24H5950415P04,1,8,520,8,523,Accommodation,Survey Home,At Home,Go home,Banyule (C),Place of education,Primary School,Education,At school,Banyule (C),3,3.0,0.15593,Walking,Education,412,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.15593,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,382.320849591,408.444844201,490.361915577,367.19308129,375.3412633,440.231278509,390.898091483,378.401898758,476.311228577,471.365634748,0.0,MELB - Middle,Greater Melbourne,Weekday,8.666666666666666,8.716666666666667,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Active,Short (0-10],Y24H5950415,0->9,Male,Student,285999.0,Limited,Middle
Y24H5950509P03T01,Y24H5950509,Y24H5950509P03,1,8,510,8,515,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Place of education,Primary School,Education,At school,Wyndham (C),5,5.0,0.79434,Vehicle Passenger,Education,385,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.79434,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,357.626333205,411.275801151,500.471419057,378.305175236,373.201674244,386.743329218,477.364424158,344.056452315,382.306688773,335.487028395,0.0,MELB - Outer,Greater Melbourne,Weekday,8.5,8.583333333333334,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Private,Short (0-10],Y24H5950509,0->9,Female,Student,194999.0,Limited,Outer
Y24H5950516P03T01,Y24H5950516,Y24H5950516P03,1,8,523,8,527,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Place of education,Primary School,Education,At school,Wyndham (C),4,4.0,0.66611,Vehicle Passenger,Education,388,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.66611,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,307.553541767,397.308705672,352.022344271,328.00451429,322.703270795,373.798730327,371.128598296,337.519029464,327.877521928,297.945280035,0.0,MELB - Outer,Greater Melbourne,Weekday,8.716666666666667,8.783333333333333,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Private,Short (0-10],Y24H5950516,10->19,Male,Student,142999.0,Limited,Outer
Y24H5950516P04T01,Y24H5950516,Y24H5950516P04,1,8,523,8,527,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Place of education,Primary School,Education,At school,Wyndham (C),4,4.0,0.66611,Vehicle Passenger,Education,388,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.66611,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,358.625046116,412.594777999,501.915157019,379.312972032,374.295969151,387.752373763,478.832910086,344.981857486,383.321336884,336.385120863,0.0,MELB - Outer,Greater Melbourne,Weekday,8.716666666666667,8.783333333333333,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Private,Short (0-10],Y24H5950516,0->9,Female,Student,142999.0,Limited,Outer
Y24H5980233P03T01,Y24H5980233,Y24H5980233P03,1,7,450,8,510,Accommodation,Survey Home,At Home,Go home,Monash (C),Place of education,School NEC,Education,At school,Melbourne (C),60,55.0,15.12932,Tram,Education,425,Walking,Tram,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,40,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.73439,14.31406,0.08087,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1385.828161283,1471.087196934,1258.442557793,1301.125232708,0.0,1393.559504863,1171.293339758,1370.462372058,1965.350213236,1668.150667174,1453.665033983,MELB - Middle,Greater Melbourne,Weekday,7.5,8.5,1,0,1,Morning Peak (6-9],Medium (10-20],Mandatory,Public,Very Long (40+),Y24H5980233,20->29,Male,Student,37699.0,Limited,Middle
Y24H5980233P04T01,Y24H5980233,Y24H5980233P04,1,7,450,8,510,Accommodation,Survey Home,At Home,Go home,Monash (C),Place of education,School NEC,Education,At school,Melbourne (C),60,55.0,15.12932,Tram,Education,425,Walking,Tram,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,40,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.73439,14.31406,0.08087,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1451.231611887,1571.719566012,1340.467642398,1319.084349585,0.0,1445.872991035,1210.578327659,1447.585886416,1906.779445783,1791.497085078,1533.716284339,MELB - Middle,Greater Melbourne,Weekday,7.5,8.5,1,0,1,Morning Peak (6-9],Medium (10-20],Mandatory,Public,Very Long (40+),Y24H5980233,20->29,Female,Student,37699.0,Limited,Middle
Y24H5980318P03T01,Y24H5980318,Y24H5980318P03,1,8,480,8,510,Accommodation,Survey Home,At Home,Go home,Stonnington (C),Place of education,Tertiary,Education,At Uni/Tech,Monash (C),30,30.0,11.63986,Vehicle Driver,Education,510,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,30,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.63986,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2069.350182974,1687.856507373,2088.21347061,0.0,3611.218741115,2588.987666044,1904.994156385,2715.927485858,2238.890863598,2109.708025881,1935.028117823,MELB - Inner,Greater Melbourne,Weekday,8.0,8.5,1,0,1,Morning Peak (6-9],Medium (10-20],Mandatory,Private,Long (20-40],Y24H5980318,20->29,Female,Student,450000.0,Moderate,Inner
Y24H5990209P05T01,Y24H5990209,Y24H5990209P05,1,11,662,11,689,Accommodation,Survey Home,At Home,Go home,Yarra Ranges (S),Personal services,Psychlogy & mental health,Education,Education (NEC),Yarra Ranges (S),27,27.0,27.57277,Vehicle Passenger,Education,124,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,27,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,27.57277,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,848.132320741,1061.353464782,826.89317927,968.516896401,1401.926754667,910.54909992,851.645934845,791.667175947,916.78325883,816.827279373,0.0,MELB - Outer,Greater Melbourne,Weekday,11.033333333333333,11.483333333333333,0,0,0,Late Morning (9-12],Long (20-40],Mandatory,Private,Long (20-40],Y24H5990209,10->19,Male,Student,285999.0,Limited,Outer
Y24H5990326P03T01,Y24H5990326,Y24H5990326P03,1,8,480,8,490,Accommodation,Survey Home,At Home,Go home,Glen Eira (C),Place of education,Primary School,Education,At school,Bayside (C),10,10.0,2.79727,Vehicle Passenger,Education,565,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2.79727,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,843.449135458,1031.453719762,856.86545328,963.125821505,828.511234437,1220.295291591,872.9693647,680.484850698,0.0,877.349628042,1090.334872485,MELB - Middle,Greater Melbourne,Weekday,8.0,8.166666666666666,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Private,Short (0-10],Y24H5990326,0->9,Male,Student,194999.0,Limited,Middle
Y24H5990422P02T02,Y24H5990422,Y24H5990422P02,2,10,642,11,667,Retail venue,Department or Discount Store,Buy Something,Bought something,Darebin (C),Place of education,Tertiary,Education,At Uni/Tech,Whittlesea (C),25,19.0,3.65602,Tram,Education,546,Walking,Tram,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,10,7,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.20583,3.23782,0.21237,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1072.128771649,1211.251932539,1907.348040692,1084.956172698,1156.730831037,1124.510599724,0.0,1189.537877394,1100.713510461,1033.368674129,1037.035726414,MELB - Outer,Greater Melbourne,Weekday,10.7,11.116666666666667,0,0,0,Late Morning (9-12],Short (0-10],Mandatory,Public,Medium (10-20],Y24H5990422,30->39,Female,Student,46799.0,Limited,Outer
